Rank,Date,Tm,,Opp,,,Scorer,Age,Assist1,Assist2,Goalie,Per.,Time,Strength,Other,Arena Name
181,1991-02-24,LAK,@,WIN,W,,Wayne Gretzky,30,Tomas Sandstrom,Tony Granato,Bob Essensa,2,8:20,EV,,Winnipeg Arena
182,1991-02-22,LAK,@,WIN,W,,Wayne Gretzky,30,,,Rick Tabaracci,2,12:05,EV,,Winnipeg Arena
183,1991-02-20,LAK,,QUE,W,,Wayne Gretzky,30,Tony Granato,Marty McSorley,Jacques Cloutier,1,10:00,EV,,Great Western Forum
184,1991-02-18,LAK,,WSH,W,,Wayne Gretzky,30,Marty McSorley,,,3,19:33,EV,EN,Great Western Forum
185,1991-02-02,LAK,,VAN,W,,Wayne Gretzky,30,Marty McSorley,,Troy Gamble,2,10:01,EV,,Great Western Forum
186,1991-01-26,LAK,,VAN,W,,Wayne Gretzky,30,Tony Granato,Tomas Sandstrom,Kirk McLean,1,0:12,EV,,Great Western Forum
187,1991-01-26,LAK,,VAN,W,,Wayne Gretzky,30,Steve Duchesne,Tomas Sandstrom,Kirk McLean,2,1:08,EV,,Great Western Forum
188,1991-01-26,LAK,,VAN,W,,Wayne Gretzky,30,Tomas Sandstrom,Brian Benning,Kirk McLean,3,1:19,EV,,Great Western Forum
189,1991-01-25,LAK,@,VAN,W,,Wayne Gretzky,29,Rob Blake,Dave Taylor,Troy Gamble,3,14:42,PP,,Pacific Coliseum
190,1991-01-17,LAK,@,BOS,L,,Wayne Gretzky,29,Tony Granato,Tomas Sandstrom,Andy Moog,1,6:47,EV,,Boston Garden
191,1991-01-14,LAK,@,NJD,W,,Wayne Gretzky,29,Steve Duchesne,,Chris Terreri,1,0:59,EV,,Brendan Byrne Arena
192,1991-01-12,LAK,,VAN,W,,Wayne Gretzky,29,Rob Blake,,Kirk McLean,1,14:19,PP,,Great Western Forum
193,1991-01-03,LAK,@,NYI,W,,Wayne Gretzky,29,Brian Benning,Tomas Sandstrom,Glenn Healy,1,11:48,EV,,Nassau Veterans Memorial Coliseum
194,1991-01-03,LAK,@,NYI,W,,Wayne Gretzky,29,Steve Duchesne,,Glenn Healy,2,5:09,EV,,Nassau Veterans Memorial Coliseum
195,1991-01-03,LAK,@,NYI,W,,Wayne Gretzky,29,Tomas Sandstrom,,Glenn Healy,2,7:14,EV,,Nassau Veterans Memorial Coliseum
196,1990-12-29,LAK,,MTL,L,,Wayne Gretzky,29,,,Jean-Claude Bergeron,2,1:53,EV,,Great Western Forum
197,1990-12-20,LAK,@,CGY,W,OT,Wayne Gretzky,29,Brian Benning,Bob Kudelski,Rick Wamsley,2,15:27,EV,,Olympic Saddledome
198,1990-12-15,LAK,,EDM,W,,Wayne Gretzky,29,Steve Duchesne,Luc Robitaille,Bill Ranford,2,6:57,PP,,Great Western Forum
199,1990-12-11,LAK,,NYR,L,,Wayne Gretzky,29,Tony Granato,Brad Jones,Mike Richter,3,11:24,EV,,Great Western Forum
200,1990-12-11,LAK,,NYR,L,,Wayne Gretzky,29,Tony Granato,,Mike Richter,3,19:58,EV,,Great Western Forum
201,1990-12-05,LAK,,WIN,T,OT,Wayne Gretzky,29,John Tonelli,Bob Kudelski,Rick Tabaracci,3,10:28,EV,,Great Western Forum
202,1990-11-29,LAK,@,STL,T,OT,Wayne Gretzky,29,Steve Duchesne,Luc Robitaille,Vincent Riendeau,3,16:33,PP,,St. Louis Arena
203,1990-11-25,LAK,@,QUE,T,OT,Wayne Gretzky,29,Tomas Sandstrom,Rob Blake,Ron Tugnutt,2,19:33,EV,,Quebec Coliseum
204,1990-11-20,LAK,,NJD,W,,Wayne Gretzky,29,Dave Taylor,,Chris Terreri,2,7:58,EV,,Great Western Forum
205,1990-11-14,LAK,,BUF,W,,Wayne Gretzky,29,Francis Breault,,Clint Malarchuk,2,12:53,EV,,Great Western Forum
206,1990-11-10,LAK,,EDM,W,,Wayne Gretzky,29,Tony Granato,Steve Duchesne,Bill Ranford,2,1:37,EV,,Great Western Forum
207,1990-11-08,LAK,,DET,W,,Wayne Gretzky,29,Tomas Sandstrom,Steve Duchesne,Tim Cheveldae,2,2:54,EV,,Great Western Forum
208,1990-11-02,LAK,@,WSH,L,,Wayne Gretzky,29,Marty McSorley,Bob Kudelski,Mike Liut,2,16:16,EV,,Capital Center
209,1990-10-31,LAK,@,NYR,L,,Wayne Gretzky,29,Tomas Sandstrom,Steve Duchesne,Mike Richter,1,15:59,EV,,Madison Square Garden (IV)
210,1990-10-30,LAK,@,NYI,W,,Wayne Gretzky,29,Rob Blake,Steve Duchesne,Danny Lorenz,1,18:44,PP,,Nassau Veterans Memorial Coliseum
211,1990-10-19,LAK,,HAR,W,,Wayne Gretzky,29,Steve Duchesne,,,3,18:48,EV,EN,Great Western Forum
212,1990-10-17,LAK,,MNS,W,,Wayne Gretzky,29,,,,3,19:46,EV,EN,Great Western Forum
213,1990-10-13,LAK,,BOS,W,,Wayne Gretzky,29,Tony Granato,Tomas Sandstrom,Reggie Lemelin,1,19:12,EV,,Great Western Forum
214,1990-10-13,LAK,,BOS,W,,Wayne Gretzky,29,,,Andy Moog,3,19:14,PP,,Great Western Forum
215,1990-10-11,LAK,,EDM,T,OT,Wayne Gretzky,29,Steve Kasper,Luc Robitaille,Bill Ranford,3,19:11,EV,,Great Western Forum
216,1990-10-04,LAK,,NYI,W,,Wayne Gretzky,29,Luc Robitaille,Rob Blake,Glenn Healy,1,12:40,PP,,Great Western Forum
217,1990-10-04,LAK,,NYI,W,,Wayne Gretzky,29,Rob Blake,,Glenn Healy,2,18:46,PP,,Great Western Forum
218,1990-03-17,LAK,@,BOS,W,,Wayne Gretzky,29,Tomas Sandstrom,,Reggie Lemelin,3,18:20,EV,,Boston Garden
219,1990-03-14,LAK,@,BUF,W,OT,Wayne Gretzky,29,,,Daren Puppa,2,5:52,EV,,Buffalo Memorial Auditorium
220,1990-03-10,LAK,,PIT,W,,Wayne Gretzky,29,Luc Robitaille,Tim Watters,Alain Chevrier,2,5:46,EV,,Great Western Forum
221,1990-03-07,LAK,,MTL,L,,Wayne Gretzky,29,Steve Kasper,Bob Halkidis,Patrick Roy,2,17:14,EV,,Great Western Forum
222,1990-02-28,LAK,,EDM,W,,Wayne Gretzky,29,Marty McSorley,Mike Krushelnyski,,3,19:19,SH,EN,Great Western Forum
223,1990-02-21,LAK,,MNS,W,,Wayne Gretzky,29,Steve Kasper,,,3,19:52,EV,EN,Great Western Forum
224,1990-02-19,LAK,,WSH,W,,Wayne Gretzky,29,Steve Duchesne,Luc Robitaille,Jim Hrivnak,2,14:54,EV,,Great Western Forum
225,1990-02-17,LAK,,QUE,W,,Wayne Gretzky,29,Tomas Sandstrom,Petr Prajsler,Scott Gordon,3,1:32,EV,,Great Western Forum
226,1990-02-17,LAK,,QUE,W,,Wayne Gretzky,29,Tomas Sandstrom,Mike Allison,Scott Gordon,3,8:27,PP,,Great Western Forum
227,1990-02-14,LAK,@,DET,L,,Wayne Gretzky,29,Brian Benning,Tomas Sandstrom,Tim Cheveldae,1,4:29,EV,,Joe Louis Arena
228,1990-02-14,LAK,@,DET,L,,Wayne Gretzky,29,Tomas Sandstrom,Tim Watters,Tim Cheveldae,2,18:30,EV,,Joe Louis Arena
229,1990-02-01,LAK,,CHI,L,,Wayne Gretzky,29,Tomas Sandstrom,Larry Robinson,Jacques Cloutier,1,19:23,PP,,Great Western Forum
230,1990-01-27,LAK,,NYR,L,,Wayne Gretzky,29,John Tonelli,Tomas Sandstrom,Mike Richter,1,18:35,PP,,Great Western Forum
231,1990-01-18,LAK,,DET,W,,Wayne Gretzky,28,Mike Allison,,Glen Hanlon,1,0:50,EV,,Great Western Forum
232,1990-01-18,LAK,,DET,W,,Wayne Gretzky,28,Larry Robinson,,Glen Hanlon,1,16:35,EV,,Great Western Forum
233,1990-01-16,LAK,,BUF,L,,Wayne Gretzky,28,,,Daren Puppa,2,13:57,SH,,Great Western Forum
234,1990-01-11,LAK,,EDM,T,OT,Wayne Gretzky,28,Luc Robitaille,Larry Robinson,Bill Ranford,3,14:56,EV,,Great Western Forum
235,1990-01-09,LAK,,STL,L,,Wayne Gretzky,28,Bernie Nicholls,Bob Kudelski,Vincent Riendeau,2,10:50,PP,,Great Western Forum
236,1990-01-06,LAK,@,TOR,L,,Wayne Gretzky,28,Mikko Makela,Mike Krushelnyski,Allan Bester,1,12:18,EV,,Maple Leaf Gardens
237,1990-01-01,LAK,@,WSH,W,,Wayne Gretzky,28,Marty McSorley,John Tonelli,Don Beaupre,3,6:49,EV,,Capital Center
238,1990-01-01,LAK,@,WSH,W,,Wayne Gretzky,28,Luc Robitaille,Steve Duchesne,Don Beaupre,3,19:11,EV,,Capital Center
239,1989-12-27,LAK,,CGY,T,OT,Wayne Gretzky,28,Luc Robitaille,Bernie Nicholls,Mike Vernon,2,11:16,PP,,Great Western Forum
240,1989-12-21,LAK,,QUE,W,,Wayne Gretzky,28,Mike Krushelnyski,John Tonelli,Ron Tugnutt,3,12:10,EV,,Great Western Forum
241,1989-12-19,LAK,,WIN,W,,Wayne Gretzky,28,Mikko Makela,,Daniel Berthiaume,2,16:58,EV,,Great Western Forum
242,1989-12-19,LAK,,WIN,W,,Wayne Gretzky,28,Brian Benning,Luc Robitaille,Daniel Berthiaume,1,2:55,PP,,Great Western Forum
243,1989-12-15,LAK,@,NJD,L,,Wayne Gretzky,28,Steve Kasper,Steve Duchesne,Chris Terreri,3,7:48,SH,,Brendan Byrne Arena
244,1989-12-13,LAK,@,HAR,W,,Wayne Gretzky,28,Marty McSorley,,Peter Sidorkiewicz,1,14:50,EV,,Hartford Civic Center
245,1989-12-08,LAK,@,EDM,L,OT,Wayne Gretzky,28,Larry Robinson,Bernie Nicholls,Grant Fuhr,3,14:30,PP,,Northlands Coliseum
246,1989-11-30,LAK,,EDM,L,,Wayne Gretzky,28,Mikko Makela,Mike Krushelnyski,Grant Fuhr,1,15:02,EV,,Great Western Forum
247,1989-11-22,LAK,,CHI,W,,Wayne Gretzky,28,Steve Kasper,,Jacques Cloutier,2,11:40,EV,,Great Western Forum
248,1989-11-08,LAK,,CGY,L,,Wayne Gretzky,28,Steve Duchesne,,Rick Wamsley,2,0:37,EV,,Great Western Forum
249,1989-10-31,LAK,@,PIT,W,,Wayne Gretzky,28,Bernie Nicholls,,Wendell Young,1,5:41,EV,,Pittsburgh Civic Arena
250,1989-10-31,LAK,@,PIT,W,,Wayne Gretzky,28,Petr Prajsler,Bernie Nicholls,Wendell Young,2,1:40,PP,,Pittsburgh Civic Arena
251,1989-10-31,LAK,@,PIT,W,,Wayne Gretzky,28,Bernie Nicholls,,Wendell Young,1,4:41,SH,,Pittsburgh Civic Arena
252,1989-10-21,LAK,@,STL,W,,Wayne Gretzky,28,Larry Robinson,Bob Kudelski,Greg Millen,3,16:47,EV,,St. Louis Arena
253,1989-10-15,LAK,@,EDM,W,OT,Wayne Gretzky,28,Dave Taylor,Steve Duchesne,Bill Ranford,3,19:07,EV,,Northlands Coliseum
254,1989-10-15,LAK,@,EDM,W,OT,Wayne Gretzky,28,Bob Kudelski,,Bill Ranford,OT,3:24,EV,,Northlands Coliseum
255,1989-10-11,LAK,,NYI,L,,Wayne Gretzky,28,John Tonelli,Marty McSorley,Mark Fitzpatrick,3,1:27,PP,,Great Western Forum
256,1989-10-07,LAK,,EDM,L,,Wayne Gretzky,28,Luc Robitaille,Larry Robinson,Bill Ranford,1,10:53,EV,,Great Western Forum
257,1989-10-07,LAK,,EDM,L,,Wayne Gretzky,28,Bob Kudelski,John Tonelli,Bill Ranford,2,1:07,PP,,Great Western Forum
258,1989-03-29,LAK,,WIN,W,OT,Wayne Gretzky,28,Kelly Hrudey,,Pokey Reddick,1,15:32,EV,,Great Western Forum
259,1989-03-28,LAK,,WIN,T,OT,Wayne Gretzky,28,Steve Duchesne,Mike Krushelnyski,Bob Essensa,3,10:51,PP,,Great Western Forum
260,1989-03-12,LAK,@,EDM,W,,Wayne Gretzky,28,Mike Allison,,Grant Fuhr,3,7:23,EV,,Northlands Coliseum
261,1989-03-10,LAK,@,VAN,L,,Wayne Gretzky,28,Mike Allison,Mike Krushelnyski,Kirk McLean,2,2:24,PP,,Pacific Coliseum
262,1989-03-04,LAK,,PHI,W,,Wayne Gretzky,28,Bernie Nicholls,John Tonelli,Ron Hextall,3,16:07,EV,,Great Western Forum
263,1989-03-04,LAK,,PHI,W,,Wayne Gretzky,28,Mike Allison,,Ron Hextall,1,16:00,EV,,Great Western Forum
264,1989-03-02,LAK,@,STL,L,,Wayne Gretzky,28,,,Greg Millen,1,12:39,EV,,St. Louis Arena
265,1989-03-01,LAK,@,BUF,W,,Wayne Gretzky,28,Jay Miller,Marty McSorley,Jacques Cloutier,2,18:56,EV,,Buffalo Memorial Auditorium
266,1989-02-20,LAK,,TOR,W,,Wayne Gretzky,28,Mike Allison,Mike Krushelnyski,Allan Bester,2,7:49,EV,,Great Western Forum
267,1989-02-20,LAK,,TOR,W,,Wayne Gretzky,28,Mike Allison,Mike Krushelnyski,Allan Bester,3,9:17,EV,,Great Western Forum
268,1989-02-18,LAK,,QUE,W,,Wayne Gretzky,28,Bob Kudelski,John Tonelli,Ron Tugnutt,3,13:01,EV,,Great Western Forum
269,1989-02-18,LAK,,QUE,W,,Wayne Gretzky,28,Steve Kasper,,Ron Tugnutt,3,10:48,SH,,Great Western Forum
270,1989-02-12,LAK,@,CHI,W,,Wayne Gretzky,28,Tom Laidlaw,,Alain Chevrier,3,4:19,SH,,Chicago Stadium
271,1989-02-12,LAK,@,CHI,W,,Wayne Gretzky,28,Mike Krushelnyski,Mike Allison,Alain Chevrier,2,19:24,EV,,Chicago Stadium
272,1989-02-12,LAK,@,CHI,W,,Wayne Gretzky,28,Mike Krushelnyski,,Alain Chevrier,2,10:21,PP,,Chicago Stadium
273,1989-02-10,LAK,@,WSH,W,OT,Wayne Gretzky,28,Mike Allison,Dale DeGray,Clint Malarchuk,3,8:34,EV,,Capital Center
274,1989-02-04,LAK,,BUF,W,,Wayne Gretzky,28,Bernie Nicholls,John Tonelli,Darcy Wakaluk,3,10:34,EV,,Great Western Forum
275,1989-02-04,LAK,,BUF,W,,Wayne Gretzky,28,,,Darcy Wakaluk,3,18:12,EV,,Great Western Forum
276,1989-02-04,LAK,,BUF,W,,Wayne Gretzky,28,,,,3,19:59,EV,EN,Great Western Forum
277,1989-02-02,LAK,,NJD,T,OT,Wayne Gretzky,28,John Tonelli,Tom Laidlaw,Sean Burke,3,7:43,EV,,Great Western Forum
278,1989-01-31,LAK,,CGY,L,,Wayne Gretzky,28,Luc Robitaille,Bernie Nicholls,Mike Vernon,3,12:47,PP,,Great Western Forum
279,1989-01-21,LAK,@,HAR,L,,Wayne Gretzky,27,Bernie Nicholls,,Peter Sidorkiewicz,2,14:01,EV,,Hartford Civic Center
280,1989-01-14,LAK,,HAR,W,,Wayne Gretzky,27,Marty McSorley,,Mike Liut,2,9:13,EV,,Great Western Forum
281,1989-01-14,LAK,,HAR,W,,Wayne Gretzky,27,Bernie Nicholls,Steve Duchesne,Mike Liut,1,6:45,PP,,Great Western Forum
282,1989-01-08,LAK,@,WIN,T,OT,Wayne Gretzky,27,Sylvain Couturier,Luc Robitaille,Pokey Reddick,3,12:44,EV,,Winnipeg Arena
283,1988-12-29,LAK,,VAN,L,,Wayne Gretzky,27,Bernie Nicholls,Marty McSorley,Steve Weeks,2,4:00,EV,,Great Western Forum
284,1988-12-23,LAK,@,VAN,W,,Wayne Gretzky,27,Bernie Nicholls,,,3,19:54,EV,EN,Pacific Coliseum
285,1988-12-23,LAK,@,VAN,W,,Wayne Gretzky,27,,,,3,17:54,SH,EN,Pacific Coliseum
286,1988-12-21,LAK,,MNS,W,,Wayne Gretzky,27,Ron Duguay,Tom Laidlaw,Jon Casey,1,3:08,EV,,Great Western Forum
287,1988-12-16,LAK,@,DET,W,,Wayne Gretzky,27,,,,3,19:59,EV,EN,Joe Louis Arena
288,1988-12-12,LAK,@,NYR,W,,Wayne Gretzky,27,Bernie Nicholls,Bob Carpenter,John Vanbiesbrouck,2,3:29,EV,,Madison Square Garden (IV)
289,1988-12-08,LAK,,WIN,T,OT,Wayne Gretzky,27,Mike Allison,,Pokey Reddick,3,0:39,EV,,Great Western Forum
290,1988-12-06,LAK,,WIN,L,OT,Wayne Gretzky,27,Luc Robitaille,Steve Duchesne,Pokey Reddick,3,3:34,EV,,Great Western Forum
291,1988-12-03,LAK,,CHI,W,,Wayne Gretzky,27,Bernie Nicholls,,,3,19:59,EV,EN,Great Western Forum
292,1988-11-29,LAK,,NJD,W,,Wayne Gretzky,27,Gilles Hamel,,Sean Burke,3,19:41,EV,,Great Western Forum
293,1988-11-29,LAK,,NJD,W,,Wayne Gretzky,27,Luc Robitaille,Steve Duchesne,Sean Burke,3,11:17,PP,,Great Western Forum
294,1988-11-26,LAK,@,CGY,L,,Wayne Gretzky,27,Bob Carpenter,,Mike Vernon,1,12:54,EV,,Olympic Saddledome
295,1988-11-23,LAK,@,DET,W,,Wayne Gretzky,27,Dave Taylor,Luc Robitaille,Greg Stefan,1,8:23,EV,,Joe Louis Arena
296,1988-11-19,LAK,,BUF,W,,Wayne Gretzky,27,Bernie Nicholls,,Jacques Cloutier,3,15:57,EV,,Great Western Forum
297,1988-11-15,LAK,,VAN,W,,Wayne Gretzky,27,Doug Crossman,Bernie Nicholls,Kirk McLean,3,0:28,EV,,Great Western Forum
298,1988-11-15,LAK,,VAN,W,,Wayne Gretzky,27,Bernie Nicholls,Luc Robitaille,Kirk McLean,3,2:41,PP,,Great Western Forum
299,1988-11-06,LAK,@,CHI,W,,Wayne Gretzky,27,Steve Duchesne,Ron Duguay,Darren Pang,2,8:09,EV,,Chicago Stadium
300,1988-11-06,LAK,@,CHI,W,,Wayne Gretzky,27,,,,3,19:51,PP,EN,Chicago Stadium
301,1988-11-01,LAK,@,QUE,W,,Wayne Gretzky,27,Wayne McBean,Bob Carpenter,Bob Mason,2,15:58,EV,,Quebec Coliseum
302,1988-10-30,LAK,@,WIN,L,,Wayne Gretzky,27,,,Pokey Reddick,1,14:09,EV,,Winnipeg Arena
303,1988-10-22,LAK,,MNS,W,,Wayne Gretzky,27,Bob Carpenter,Marty McSorley,Kari Takko,3,3:47,EV,,Great Western Forum
304,1988-10-22,LAK,,MNS,W,,Wayne Gretzky,27,Bob Carpenter,,Jon Casey,1,12:12,PP,,Great Western Forum
305,1988-10-17,LAK,@,CGY,L,,Wayne Gretzky,27,Marty McSorley,Luc Robitaille,Mike Vernon,2,3:05,PP,,Olympic Saddledome
306,1988-10-12,LAK,,BOS,W,,Wayne Gretzky,27,Dave Taylor,,Andy Moog,3,7:12,EV,,Great Western Forum
307,1988-10-12,LAK,,BOS,W,,Wayne Gretzky,27,Bernie Nicholls,Ken Baumgartner,Andy Moog,2,14:30,SH,,Great Western Forum
308,1988-10-09,LAK,,NYI,W,OT,Wayne Gretzky,27,Steve Duchesne,,Billy Smith,2,19:46,EV,,Great Western Forum
309,1988-10-08,LAK,,CGY,W,OT,Wayne Gretzky,27,Luc Robitaille,Dave Taylor,Rick Wamsley,1,12:29,EV,,Great Western Forum
310,1988-10-08,LAK,,CGY,W,OT,Wayne Gretzky,27,Larry Playfair,Bernie Nicholls,Rick Wamsley,3,11:14,SH,,Great Western Forum
311,1988-10-06,LAK,,DET,W,,Wayne Gretzky,27,Dave Taylor,Bernie Nicholls,Greg Stefan,1,12:54,PP,,Great Western Forum
312,1988-03-30,EDM,,MNS,W,,Wayne Gretzky,27,Jari Kurri,Steve Smith,Kari Takko,3,14:33,PP,,Northlands Coliseum
313,1988-03-28,EDM,@,TOR,W,,Wayne Gretzky,27,Glenn Anderson,Bill Ranford,,3,19:44,EV,EN,Maple Leaf Gardens
314,1988-03-26,EDM,@,NYI,L,,Wayne Gretzky,27,Geoff Courtnall,,Kelly Hrudey,3,19:40,EV,,Nassau Veterans Memorial Coliseum
315,1988-03-20,EDM,@,MNS,T,OT,Wayne Gretzky,27,Craig Muni,Geoff Courtnall,Jon Casey,1,8:07,EV,,Metropolitan Sports Center
316,1988-03-01,EDM,,LAK,W,,Wayne Gretzky,27,Esa Tikkanen,Charlie Huddy,Roland Melanson,1,12:26,PP,,Northlands Coliseum
317,1988-02-28,EDM,,CGY,L,,Wayne Gretzky,27,Esa Tikkanen,Mark Messier,Mike Vernon,2,10:14,PP,,Northlands Coliseum
318,1988-02-11,EDM,@,VAN,W,,Wayne Gretzky,27,Mark Messier,,Frank Caprice,3,17:52,EV,,Pacific Coliseum
319,1988-02-06,EDM,@,LAK,L,,Wayne Gretzky,27,Esa Tikkanen,,Roland Melanson,1,11:42,EV,,Great Western Forum
320,1988-02-03,EDM,,NJD,W,,Wayne Gretzky,27,Craig Muni,Jari Kurri,Alain Chevrier,2,8:19,EV,,Northlands Coliseum
321,1988-01-30,EDM,,HAR,W,,Wayne Gretzky,27,Charlie Huddy,Jari Kurri,Mike Liut,2,2:24,SH,,Northlands Coliseum
322,1987-12-30,EDM,,PHI,W,,Wayne Gretzky,26,Esa Tikkanen,Grant Fuhr,Ron Hextall,3,18:45,EV,,Northlands Coliseum
323,1987-12-26,EDM,@,CGY,W,,Wayne Gretzky,26,Craig Muni,Esa Tikkanen,Mike Vernon,3,7:32,EV,,Olympic Saddledome
324,1987-12-16,EDM,@,LAK,L,,Wayne Gretzky,26,Jari Kurri,Steve Smith,Glenn Healy,3,6:09,EV,,Great Western Forum
325,1987-12-12,EDM,@,VAN,W,,Wayne Gretzky,26,,,Kirk McLean,2,1:35,SH,,Pacific Coliseum
326,1987-12-12,EDM,@,VAN,W,,Wayne Gretzky,26,Jari Kurri,,Kirk McLean,3,2:54,SH,,Pacific Coliseum
327,1987-12-06,EDM,,MNS,W,,Wayne Gretzky,26,Steve Smith,,Don Beaupre,1,5:38,EV,,Northlands Coliseum
328,1987-12-06,EDM,,MNS,W,,Wayne Gretzky,26,Jari Kurri,Esa Tikkanen,Don Beaupre,2,15:13,EV,,Northlands Coliseum
329,1987-12-06,EDM,,MNS,W,,Wayne Gretzky,26,Steve Smith,Grant Fuhr,Don Beaupre,3,14:15,EV,,Northlands Coliseum
330,1987-12-06,EDM,,MNS,W,,Wayne Gretzky,26,Craig Simpson,Esa Tikkanen,Don Beaupre,1,14:34,PP,,Northlands Coliseum
331,1987-12-06,EDM,,MNS,W,,Wayne Gretzky,26,Mark Messier,Jari Kurri,Kari Takko,1,16:11,PP,,Northlands Coliseum
332,1987-12-05,EDM,,TOR,W,,Wayne Gretzky,26,Esa Tikkanen,Jeff Beukeboom,Ken Wregget,3,0:57,EV,,Northlands Coliseum
333,1987-12-05,EDM,,TOR,W,,Wayne Gretzky,26,Esa Tikkanen,,Ken Wregget,3,18:59,EV,,Northlands Coliseum
334,1987-11-27,EDM,,CHI,W,,Wayne Gretzky,26,Mark Messier,,Darren Pang,2,18:37,SH,,Northlands Coliseum
335,1987-11-25,EDM,,NJD,L,OT,Wayne Gretzky,26,Mark Messier,Craig Muni,Alain Chevrier,2,18:47,SH,,Northlands Coliseum
336,1987-11-22,EDM,@,WIN,L,OT,Wayne Gretzky,26,Glenn Anderson,Mark Messier,Pokey Reddick,1,4:57,EV,,Winnipeg Arena
337,1987-11-22,EDM,@,WIN,L,OT,Wayne Gretzky,26,Esa Tikkanen,,Pokey Reddick,1,9:27,EV,,Winnipeg Arena
338,1987-11-15,EDM,@,CHI,L,,Wayne Gretzky,26,Mark Messier,Charlie Huddy,Darren Pang,2,0:14,PP,,Chicago Stadium
339,1987-11-07,EDM,,BUF,W,,Wayne Gretzky,26,Charlie Huddy,Esa Tikkanen,Tom Barrasso,1,17:14,EV,,Northlands Coliseum
340,1987-11-07,EDM,,BUF,W,,Wayne Gretzky,26,Jim Wiemer,Mark Messier,Tom Barrasso,2,5:13,PP,,Northlands Coliseum
341,1987-11-05,EDM,@,CGY,T,OT,Wayne Gretzky,26,Jari Kurri,Steve Smith,Mike Vernon,3,9:31,EV,,Olympic Saddledome
342,1987-11-04,EDM,,NYR,W,,Wayne Gretzky,26,Esa Tikkanen,,John Vanbiesbrouck,2,1:31,PP,,Northlands Coliseum
343,1987-11-04,EDM,,NYR,W,,Wayne Gretzky,26,Jari Kurri,Esa Tikkanen,John Vanbiesbrouck,1,15:20,EV,,Northlands Coliseum
344,1987-11-04,EDM,,NYR,W,,Wayne Gretzky,26,Esa Tikkanen,Charlie Huddy,John Vanbiesbrouck,1,9:05,PP,,Northlands Coliseum
345,1987-10-24,EDM,,VAN,W,,Wayne Gretzky,26,Esa Tikkanen,,Richard Brodeur,1,7:24,EV,,Northlands Coliseum
346,1987-10-24,EDM,,VAN,W,,Wayne Gretzky,26,Steve Smith,,Richard Brodeur,3,15:05,EV,,Northlands Coliseum
347,1987-10-21,EDM,,LAK,W,,Wayne Gretzky,26,Kevin Lowe,,Glenn Healy,1,18:35,EV,,Northlands Coliseum
348,1987-10-21,EDM,,LAK,W,,Wayne Gretzky,26,Jeff Beukeboom,Mark Messier,Glenn Healy,3,3:25,EV,,Northlands Coliseum
349,1987-10-17,EDM,,BOS,W,,Wayne Gretzky,26,Jari Kurri,,Reggie Lemelin,2,13:19,EV,,Northlands Coliseum
350,1987-10-14,EDM,,CGY,L,,Wayne Gretzky,26,Mike Krushelnyski,Steve Smith,Mike Vernon,2,1:46,EV,,Northlands Coliseum
351,1987-10-11,EDM,@,LAK,W,,Wayne Gretzky,26,Grant Fuhr,,Roland Melanson,2,8:03,EV,,Great Western Forum
352,1987-04-02,EDM,,CGY,T,OT,Wayne Gretzky,26,Mark Messier,Paul Coffey,Doug Dadswell,2,12:51,PP,,Northlands Coliseum
353,1987-03-19,EDM,@,CGY,L,,Wayne Gretzky,26,Dave Hunter,Moe Lemay,Mike Vernon,2,10:50,EV,,Olympic Saddledome
354,1987-03-15,EDM,,HAR,W,,Wayne Gretzky,26,Esa Tikkanen,,Mike Liut,2,1:58,EV,,Northlands Coliseum
355,1987-03-14,EDM,,BUF,W,,Wayne Gretzky,26,Esa Tikkanen,Jari Kurri,Tom Barrasso,1,7:07,EV,,Northlands Coliseum
356,1987-03-14,EDM,,BUF,W,,Wayne Gretzky,26,Mike Krushelnyski,Jari Kurri,Tom Barrasso,2,18:59,EV,,Northlands Coliseum
357,1987-03-11,EDM,,DET,W,,Wayne Gretzky,26,Glenn Anderson,Reijo Ruotsalainen,Greg Stefan,3,18:41,EV,,Northlands Coliseum
358,1987-03-06,EDM,,LAK,W,,Wayne Gretzky,26,,,Al Jensen,3,19:39,SH,,Northlands Coliseum
359,1987-03-04,EDM,@,VAN,W,,Wayne Gretzky,26,Kent Nilsson,Paul Coffey,Frank Caprice,3,11:33,PP,,Pacific Coliseum
360,1987-02-22,EDM,@,WIN,L,,Wayne Gretzky,26,Jari Kurri,,Pokey Reddick,2,14:24,EV,,Winnipeg Arena
361,1987-02-18,EDM,,TOR,W,,Wayne Gretzky,26,Craig MacTavish,Paul Coffey,Allan Bester,1,18:38,EV,,Northlands Coliseum
362,1987-02-08,EDM,,STL,W,,Wayne Gretzky,26,Jari Kurri,Esa Tikkanen,Greg Millen,3,1:06,EV,,Northlands Coliseum
363,1987-02-08,EDM,,STL,W,,Wayne Gretzky,26,Esa Tikkanen,Craig Muni,Greg Millen,1,5:44,PP,,Northlands Coliseum
364,1987-02-04,EDM,@,MNS,W,OT,Wayne Gretzky,26,Kevin Lowe,Mark Messier,Don Beaupre,3,9:49,EV,,Metropolitan Sports Center
365,1987-01-30,EDM,,MNS,T,OT,Wayne Gretzky,26,Jari Kurri,Esa Tikkanen,Don Beaupre,2,13:21,EV,,Northlands Coliseum
