r0_1,r1_1,r2_1,r3_1,r6_1,r7_1,x_1,y_1,totalR_1,r0_2,r1_2,r2_2,r3_2,r6_2,r7_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
2.4172819,0.0,1.3288435,0.0,1.9491731,0.0,0.8,20.45,5.695298,2.0920265,0.0,1.1216447,0.0,Infinity,0.0,1.28,19.9,Infinity,NaN,NaN,Infinity
2.450912,0.0,1.3244447,0.0,2.0154514,0.0,0.84,20.41,5.790808,2.0920265,0.0,1.1187834,0.0,Infinity,0.0,1.27,19.91,Infinity,NaN,NaN,Infinity
2.4172819,0.0,1.3222678,0.0,1.9491731,0.0,0.81,20.45,5.6887226,2.0920265,0.0,1.1131456,0.0,Infinity,0.0,1.27,19.92,Infinity,NaN,NaN,Infinity
2.4172819,0.0,1.3244447,0.0,1.9648808,0.0,0.81,20.43,5.7066073,2.0920265,0.0,1.1131456,0.0,Infinity,0.0,1.27,19.91,Infinity,NaN,NaN,Infinity
2.3850968,0.0,1.3639117,0.0,1.9491731,0.0,0.8,20.38,5.6981816,2.0920265,0.0,1.1159505,0.0,Infinity,0.0,1.27,19.9,Infinity,NaN,NaN,Infinity
2.522973,0.0,1.3266364,0.0,1.9648808,0.0,0.78,20.52,5.8144903,2.0920265,0.0,1.1076179,0.0,Infinity,0.0,1.26,19.95,Infinity,NaN,NaN,Infinity
2.3850968,0.0,1.333304,0.0,1.9648808,0.0,0.82,20.4,5.683282,2.0920265,0.0,1.1076179,0.0,Infinity,0.0,1.27,19.93,Infinity,NaN,NaN,Infinity
2.4172819,0.0,1.3288435,0.0,1.9648808,0.0,0.82,20.42,5.711006,2.0920265,0.0,1.1131456,0.0,Infinity,0.0,1.27,19.93,Infinity,NaN,NaN,Infinity
2.3850968,0.0,1.331066,0.0,1.9648808,0.0,0.82,20.4,5.6810436,2.0920265,0.0,1.1187834,0.0,Infinity,0.0,1.27,19.92,Infinity,NaN,NaN,Infinity
2.4172819,0.0,1.3424163,0.0,1.9648808,0.0,0.82,20.4,5.724579,2.0920265,0.0,1.1187834,0.0,Infinity,0.0,1.27,19.93,Infinity,NaN,NaN,Infinity
2.4172819,0.0,1.3590105,0.0,1.9648808,0.0,0.81,20.4,5.7411733,2.0920265,0.0,1.1187834,0.0,Infinity,0.0,1.27,19.92,Infinity,NaN,NaN,Infinity
2.4172819,0.0,1.331066,0.0,1.9648808,0.0,0.82,20.42,5.7132287,2.0920265,0.0,1.1187834,0.0,Infinity,0.0,1.27,19.93,Infinity,NaN,NaN,Infinity
2.4172819,0.0,1.3424163,0.0,1.9648808,0.0,0.81,20.42,5.724579,2.1252563,0.0,1.1216447,0.0,Infinity,0.0,1.26,19.96,Infinity,NaN,NaN,Infinity
2.450912,0.0,1.3447353,0.0,1.9811393,0.0,0.81,20.42,5.7767863,2.0920265,0.0,1.1216447,0.0,Infinity,0.0,1.27,19.92,Infinity,NaN,NaN,Infinity
2.450912,0.0,1.3494241,0.0,1.9811393,0.0,0.81,20.41,5.7814755,2.1252563,0.0,1.130405,0.0,Infinity,0.0,1.27,19.93,Infinity,NaN,NaN,Infinity
2.450912,0.0,1.3541819,0.0,1.9979835,0.0,0.82,20.41,5.803077,2.1252563,0.0,1.130405,0.0,Infinity,0.0,1.27,19.92,Infinity,NaN,NaN,Infinity
2.4861004,0.0,1.3639117,0.0,1.9979835,0.0,0.82,20.4,5.8479958,2.1252563,0.0,1.1363971,0.0,Infinity,0.0,1.27,19.92,Infinity,NaN,NaN,Infinity
2.4861004,0.0,1.3816677,0.0,2.0154514,0.0,0.81,20.38,5.8832197,2.1252563,0.0,1.1333854,0.0,Infinity,0.0,1.27,19.93,Infinity,NaN,NaN,Infinity
2.4861004,0.0,1.3976845,0.0,2.0335853,0.0,0.82,20.35,5.91737,2.1607604,0.0,1.148767,0.0,Infinity,0.0,1.27,19.92,Infinity,NaN,NaN,Infinity
2.4861004,0.0,1.4059902,0.0,2.0335853,0.0,0.82,20.35,5.9256763,2.1607604,0.0,1.1551543,0.0,Infinity,0.0,1.27,19.92,Infinity,NaN,NaN,Infinity
2.450912,0.0,1.4232414,0.0,2.0335853,0.0,0.83,20.28,5.9077387,2.1607604,0.0,1.1751913,0.0,Infinity,0.0,1.28,19.88,Infinity,NaN,NaN,Infinity
2.4861004,0.0,1.4352478,0.0,2.0524309,0.0,0.82,20.31,5.9737787,2.1988266,0.0,1.1821815,0.0,Infinity,0.0,1.27,19.9,Infinity,NaN,NaN,Infinity
2.450912,0.0,1.444536,0.0,2.0524309,0.0,0.83,20.26,5.947879,2.1988266,0.0,1.1966684,0.0,Infinity,0.0,1.28,19.86,Infinity,NaN,NaN,Infinity
2.450912,0.0,1.4573212,0.0,2.0524309,0.0,0.83,20.23,5.960664,2.1607604,0.0,1.2041795,0.0,Infinity,0.0,1.3,19.82,Infinity,NaN,NaN,Infinity
2.4172819,0.0,1.4605922,0.0,2.0720394,0.0,0.84,20.2,5.949913,2.1988266,0.0,1.2118795,0.0,Infinity,0.0,1.29,19.83,Infinity,NaN,NaN,Infinity
2.450912,0.0,1.4672272,0.0,2.0720394,0.0,0.84,20.21,5.9901786,2.1988266,0.0,1.2197767,0.0,Infinity,0.0,1.29,19.84,Infinity,NaN,NaN,Infinity
2.4861004,0.0,1.4774206,0.0,2.0720394,0.0,0.83,20.23,6.0355606,2.1988266,0.0,1.2238022,0.0,Infinity,0.0,1.29,19.82,Infinity,NaN,NaN,Infinity
2.450912,0.0,1.4774206,0.0,2.0720394,0.0,0.84,20.2,6.000372,2.1988266,0.0,1.2320125,0.0,Infinity,0.0,1.3,19.82,Infinity,NaN,NaN,Infinity
2.450912,0.0,1.4914849,0.0,2.0720394,0.0,0.84,20.18,6.0144362,2.2397988,0.0,1.2320125,0.0,Infinity,0.0,1.29,19.83,Infinity,NaN,NaN,Infinity
2.450912,0.0,1.4950894,0.0,2.0720394,0.0,0.84,20.17,6.0180407,2.2397988,0.0,1.2320125,0.0,Infinity,0.0,1.3,19.82,Infinity,NaN,NaN,Infinity
2.450912,0.0,1.4950894,0.0,2.0924668,0.0,0.84,20.16,6.0384684,2.2397988,0.0,1.2320125,0.0,Infinity,0.0,1.29,19.85,Infinity,NaN,NaN,Infinity
2.4861004,0.0,1.4950894,0.0,2.0720394,0.0,0.83,20.19,6.0532293,2.2397988,0.0,1.2362,0.0,Infinity,0.0,1.29,19.85,Infinity,NaN,NaN,Infinity
2.450912,0.0,1.4987305,0.0,2.0924668,0.0,0.85,20.17,6.0421095,2.2397988,0.0,1.2362,0.0,Infinity,0.0,1.29,19.86,Infinity,NaN,NaN,Infinity
2.4861004,0.0,1.5061255,0.0,2.0924668,0.0,0.83,20.18,6.084693,2.2397988,0.0,1.2362,0.0,Infinity,0.0,1.29,19.84,Infinity,NaN,NaN,Infinity
2.522973,0.0,1.513675,0.0,2.0924668,0.0,0.83,20.19,6.1291146,2.2840903,0.0,1.2404438,0.0,Infinity,0.0,1.28,19.86,Infinity,NaN,NaN,Infinity
2.522973,0.0,1.5061255,0.0,2.0924668,0.0,0.83,20.2,6.1215653,2.2840903,0.0,1.2404438,0.0,Infinity,0.0,1.28,19.88,Infinity,NaN,NaN,Infinity
2.522973,0.0,1.5061255,0.0,2.1137757,0.0,0.84,20.19,6.1428742,2.2840903,0.0,1.2404438,0.0,Infinity,0.0,1.28,19.87,Infinity,NaN,NaN,Infinity
2.522973,0.0,1.5098805,0.0,2.0924668,0.0,0.83,20.21,6.1253204,2.2840903,0.0,1.2404438,0.0,Infinity,0.0,1.27,19.91,Infinity,NaN,NaN,Infinity
2.522973,0.0,1.5098805,0.0,2.1360352,0.0,0.84,20.2,6.168889,2.2840903,0.0,1.2404438,0.0,Infinity,0.0,1.28,19.88,Infinity,NaN,NaN,Infinity
2.522973,0.0,1.513675,0.0,2.0924668,0.0,0.82,20.22,6.1291146,2.3847597,0.0,1.2447457,0.0,Infinity,0.0,1.25,19.99,Infinity,NaN,NaN,Infinity
2.522973,0.0,1.5213852,0.0,2.0924668,0.0,0.82,20.2,6.136825,2.2840903,0.0,1.2447457,0.0,Infinity,0.0,1.28,19.88,Infinity,NaN,NaN,Infinity
