r0_1,r1_1,r2_1,r3_1,r6_1,r7_1,x_1,y_1,totalR_1,r0_2,r1_2,r2_2,r3_2,r6_2,r7_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
3.5524547,0.0,2.167257,0.0,1.2435694,0.0,-1.13,22.75,6.963281,1.6854459,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.5524547,0.0,2.150465,0.0,1.2435694,0.0,-1.13,22.74,6.9464893,1.6854459,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.5524547,0.0,2.167257,0.0,1.2601328,0.0,-1.1,22.7,6.9798446,1.6854459,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.4440944,0.0,2.167257,0.0,1.2367464,0.0,-1.14,22.75,6.848098,1.6989423,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.4440944,0.0,2.167257,0.0,1.2435694,0.0,-1.12,22.72,6.854921,1.6854459,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.4440944,0.0,2.167257,0.0,1.2435694,0.0,-1.11,22.7,6.854921,1.6989423,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.4440944,0.0,2.167257,0.0,1.2482076,0.0,-1.11,22.69,6.859559,1.6854459,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.5524547,0.0,2.167257,0.0,1.2412772,0.0,-1.15,22.77,6.960989,1.6854459,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.3457246,0.0,2.167257,0.0,1.2458794,0.0,-1.1,22.67,6.7588606,1.6989423,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.3457246,0.0,2.1846101,0.0,1.2505544,0.0,-1.1,22.66,6.780889,1.6854459,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.3457246,0.0,2.167257,0.0,1.2482076,0.0,-1.1,22.66,6.761189,1.6989423,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.3457246,0.0,2.167257,0.0,1.2482076,0.0,-1.1,22.68,6.761189,1.7128927,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.3457246,0.0,2.167257,0.0,1.2505544,0.0,-1.09,22.65,6.763536,1.6989423,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.4440944,0.0,2.1846101,0.0,1.2529202,0.0,-1.11,22.69,6.8816247,1.6989423,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.3457246,0.0,2.167257,0.0,1.2505544,0.0,-1.1,22.67,6.763536,1.6989423,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.4440944,0.0,2.1846101,0.0,1.2505544,0.0,-1.11,22.69,6.879259,1.6989423,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
