Business,Country,COVb2a,COVb2b,COVb2c
3719,Romania,NA,NA,NA
3720,Romania,NA,NA,NA
3721,Romania,3,NA,30
3722,Romania,NA,NA,NA
3723,Romania,2,NA,NA
3724,Romania,1,9,NA
3725,Romania,3,NA,30
3726,Romania,3,NA,80
3727,Romania,NA,NA,NA
3728,Romania,NA,NA,NA
3729,Romania,3,NA,25
3730,Romania,1,80,NA
3731,Romania,2,NA,NA
3732,Romania,2,NA,NA
3733,Romania,NA,NA,NA
3734,Romania,2,NA,NA
3735,Romania,3,NA,80
3736,Romania,2,NA,NA
3737,Romania,NA,NA,NA
3738,Romania,2,NA,NA
3739,Romania,3,NA,30
3740,Romania,3,NA,25
3741,Romania,3,NA,20
3742,Romania,NA,NA,NA
3743,Romania,NA,NA,NA
3744,Romania,1,5,NA
3745,Romania,NA,NA,NA
3746,Romania,1,15,NA
3747,Romania,3,NA,30
3748,Romania,NA,NA,NA
3749,Romania,3,NA,90
3750,Romania,2,NA,NA
3751,Romania,3,NA,15
3752,Poland,2,NA,NA
3753,Poland,NA,NA,NA
3754,Poland,NA,NA,NA
3755,Poland,NA,NA,NA
3756,Poland,1,50,NA
3757,Poland,NA,NA,NA
3758,Poland,2,NA,NA
3759,Poland,1,30,NA
3760,Poland,3,NA,50
3761,Poland,NA,NA,NA
3762,Poland,3,NA,10
3763,Poland,NA,NA,NA
3764,Poland,3,NA,30
3765,Poland,NA,NA,NA
3766,Poland,2,NA,NA
3767,Poland,-9,NA,NA
3768,Poland,1,5,NA
3769,Poland,NA,NA,NA
3770,Poland,3,NA,50
3771,Poland,3,NA,-9
3772,Poland,2,NA,NA
3773,Poland,3,NA,-9
3774,Poland,2,NA,NA
3775,Poland,3,NA,-9
3776,Poland,3,NA,-9
3777,Poland,3,NA,-9
3778,Poland,3,NA,-9
3779,Poland,3,NA,-9
3780,Poland,2,NA,NA
3781,Poland,3,NA,-9
3782,Poland,3,NA,-9
3783,Poland,3,NA,10
3784,Poland,2,NA,NA
3785,Poland,3,NA,15
3786,Poland,NA,NA,NA
3787,Poland,NA,NA,NA
3788,Poland,NA,NA,NA
3789,Poland,NA,NA,NA
3790,Poland,3,NA,50
3791,Poland,NA,NA,NA
3792,Poland,3,NA,-9
3793,Poland,1,20,NA
3794,Poland,3,NA,80
3795,Poland,NA,NA,NA
3796,Poland,3,NA,40
3797,Poland,NA,NA,NA
3798,Poland,3,NA,15
3799,Poland,-9,NA,NA
3800,Poland,3,NA,10
3801,Poland,2,NA,NA
3802,Poland,3,NA,20
3803,Poland,3,NA,20
3804,Poland,3,NA,50
3805,Poland,3,NA,70
3806,Poland,3,NA,-9
3807,Poland,3,NA,3
3808,Poland,3,NA,30
3809,Poland,3,NA,15
3810,Poland,3,NA,-9
3811,Poland,3,NA,25
3812,Poland,3,NA,-9
3813,Poland,3,NA,-9
3814,Poland,3,NA,30
3815,Poland,2,NA,NA
3816,Poland,3,NA,30
3817,Poland,3,NA,-9
3818,Poland,3,NA,30
3819,Poland,NA,NA,NA
3820,Poland,NA,NA,NA
3821,Poland,NA,NA,NA
3822,Poland,NA,NA,NA
3823,Poland,NA,NA,NA
3824,Poland,3,NA,30
3825,Poland,3,NA,-9
3826,Poland,2,NA,NA
3827,Poland,2,NA,NA
3828,Poland,2,NA,NA
3829,Poland,3,NA,-9
3830,Poland,NA,NA,NA
3831,Poland,NA,NA,NA
3832,Poland,2,NA,NA
3833,Poland,2,NA,NA
3834,Poland,2,NA,NA
3835,Poland,NA,NA,NA
3836,Poland,3,NA,20
3837,Poland,NA,NA,NA
3838,Poland,NA,NA,NA
3839,Poland,NA,NA,NA
3840,Poland,NA,NA,NA
3841,Poland,NA,NA,NA
3842,Poland,NA,NA,NA
3843,Poland,NA,NA,NA
3844,Poland,3,NA,20
3845,Poland,3,NA,15
3846,Poland,3,NA,15
3847,Poland,1,10,NA
3848,Poland,2,NA,NA
3849,Poland,3,NA,50
3850,Poland,3,NA,20
3851,Poland,3,NA,90
3852,Poland,3,NA,20
3853,Poland,1,30,NA
3854,Poland,1,20,NA
3855,Poland,3,NA,20
3856,Poland,3,NA,30
3857,Poland,3,NA,50
3858,Poland,NA,NA,NA
3859,Poland,NA,NA,NA
3860,Poland,3,NA,50
3861,Poland,3,NA,-9
3862,Poland,3,NA,10
3863,Poland,3,NA,25
3864,Poland,2,NA,NA
3865,Poland,NA,NA,NA
3866,Poland,NA,NA,NA
3867,Poland,3,NA,20
3868,Poland,2,NA,NA
3869,Poland,3,NA,20
3870,Poland,NA,NA,NA
3871,Poland,2,NA,NA
3872,Poland,3,NA,10
3873,Poland,NA,NA,NA
3874,Poland,2,NA,NA
3875,Poland,NA,NA,NA
3876,Poland,3,NA,10
3877,Poland,NA,NA,NA
3878,Poland,NA,NA,NA
3879,Poland,NA,NA,NA
3880,Poland,NA,NA,NA
3881,Poland,3,NA,20
3882,Poland,NA,NA,NA
3883,Poland,NA,NA,NA
3884,Poland,2,NA,NA
3885,Poland,3,NA,20
3886,Poland,NA,NA,NA
3887,Poland,2,NA,NA
3888,Poland,3,NA,10
3889,Poland,3,NA,20
3890,Poland,3,NA,15
3891,Poland,2,NA,NA
3892,Poland,NA,NA,NA
3893,Poland,2,NA,NA
3894,Poland,1,10,NA
3895,Poland,2,NA,NA
3896,Poland,NA,NA,NA
3897,Poland,NA,NA,NA
3898,Poland,NA,NA,NA
3899,Poland,2,NA,NA
3900,Poland,3,NA,90
3901,Poland,2,NA,NA
3902,Poland,2,NA,NA
3903,Poland,2,NA,NA
3904,Poland,3,NA,40
3905,Poland,NA,NA,NA
3906,Poland,3,NA,30
3907,Poland,NA,NA,NA
3908,Poland,1,15,NA
3909,Poland,NA,NA,NA
3910,Poland,3,NA,20
3911,Poland,NA,NA,NA
3912,Poland,2,NA,NA
3913,Poland,2,NA,NA
3914,Poland,3,NA,15
3915,Poland,3,NA,20
3916,Poland,2,NA,NA
3917,Poland,2,NA,NA
3918,Poland,3,NA,10
3919,Poland,3,NA,40
3920,Poland,2,NA,NA
3921,Poland,NA,NA,NA
3922,Poland,NA,NA,NA
3923,Poland,NA,NA,NA
3924,Poland,3,NA,20
3925,Poland,2,NA,NA
3926,Poland,NA,NA,NA
3927,Poland,2,NA,NA
3928,Poland,2,NA,NA
3929,Poland,NA,NA,NA
3930,Poland,2,NA,NA
3931,Poland,NA,NA,NA
3932,Poland,NA,NA,NA
3933,Poland,NA,NA,NA
3934,Poland,3,NA,20
3935,Poland,3,NA,25
3936,Poland,3,NA,25
3937,Poland,NA,NA,NA
3938,Poland,NA,NA,NA
3939,Poland,3,NA,35
3940,Poland,NA,NA,NA
3941,Poland,2,NA,NA
3942,Poland,2,NA,NA
3943,Poland,2,NA,NA
3944,Poland,NA,NA,NA
3945,Poland,3,NA,10
3946,Poland,NA,NA,NA
3947,Poland,3,NA,30
3948,Poland,3,NA,30
3949,Poland,3,NA,30
3950,Poland,3,NA,52
3951,Poland,2,NA,NA
3952,Poland,3,NA,100
3953,Poland,3,NA,20
3954,Poland,3,NA,60
3955,Poland,3,NA,10
3956,Poland,3,NA,10
3957,Poland,3,NA,15
3958,Poland,2,NA,NA
3959,Poland,2,NA,NA
3960,Poland,NA,NA,NA
3961,Poland,3,NA,32
3962,Poland,3,NA,40
3963,Poland,NA,NA,NA
3964,Poland,NA,NA,NA
3965,Poland,NA,NA,NA
3966,Poland,3,NA,50
3967,Poland,3,NA,25
3968,Poland,NA,NA,NA
3969,Poland,3,NA,15
3970,Poland,NA,NA,NA
3971,Poland,2,NA,NA
3972,Poland,NA,NA,NA
3973,Poland,3,NA,20
3974,Poland,3,NA,-9
3975,Poland,2,NA,NA
3976,Poland,3,NA,30
3977,Poland,3,NA,100
3978,Poland,3,NA,15
3979,Poland,3,NA,10
3980,Poland,3,NA,20
3981,Poland,2,NA,NA
3982,Poland,1,10,NA
3983,Poland,2,NA,NA
3984,Poland,NA,NA,NA
3985,Poland,NA,NA,NA
3986,Poland,2,NA,NA
3987,Poland,3,NA,15
3988,Poland,NA,NA,NA
3989,Poland,NA,NA,NA
3990,Poland,NA,NA,NA
3991,Poland,3,NA,30
3992,Poland,NA,NA,NA
3993,Poland,1,10,NA
3994,Poland,3,NA,20
3995,Poland,3,NA,25
3996,Poland,3,NA,-9
3997,Poland,3,NA,30
3998,Poland,NA,NA,NA
3999,Poland,2,NA,NA
4000,Poland,NA,NA,NA
4001,Poland,2,NA,NA
4002,Poland,3,NA,20
4003,Poland,NA,NA,NA
4004,Poland,2,NA,NA
4005,Poland,2,NA,NA
4006,Poland,2,NA,NA
4007,Poland,2,NA,NA
4008,Poland,NA,NA,NA
4009,Poland,3,NA,-9
4010,Poland,3,NA,80
4011,Poland,NA,NA,NA
4012,Poland,NA,NA,NA
4013,Poland,2,NA,NA
4014,Poland,2,NA,NA
4015,Poland,NA,NA,NA
4016,Poland,3,NA,25
4017,Poland,3,NA,35
4018,Poland,NA,NA,NA
4019,Poland,3,NA,10
4020,Poland,3,NA,25
4021,Poland,3,NA,20
4022,Poland,2,NA,NA
4023,Poland,3,NA,-9
4024,Poland,3,NA,50
4025,Poland,NA,NA,NA
4026,Poland,1,20,NA
4027,Poland,3,NA,-9
4028,Poland,2,NA,NA
4029,Poland,NA,NA,NA
4030,Poland,3,NA,20
4031,Poland,3,NA,38
4032,Poland,2,NA,NA
4033,Poland,NA,NA,NA
4034,Poland,3,NA,35
4035,Poland,3,NA,-9
4036,Poland,NA,NA,NA
4037,Poland,NA,NA,NA
4038,Poland,NA,NA,NA
4039,Poland,NA,NA,NA
4040,Poland,2,NA,NA
4041,Poland,3,NA,36
4042,Poland,2,NA,NA
4043,Poland,3,NA,20
4044,Poland,3,NA,40
4045,Poland,3,NA,50
4046,Poland,1,11,NA
4047,Poland,3,NA,-9
4048,Poland,NA,NA,NA
4049,Poland,2,NA,NA
4050,Poland,3,NA,30
4051,Poland,NA,NA,NA
4052,Poland,3,NA,60
4053,Poland,NA,NA,NA
4054,Poland,NA,NA,NA
4055,Poland,NA,NA,NA
4056,Poland,2,NA,NA
4057,Poland,2,NA,NA
4058,Poland,3,NA,20
4059,Poland,NA,NA,NA
4060,Poland,NA,NA,NA
4061,Poland,3,NA,15
4062,Poland,2,NA,NA
4063,Poland,2,NA,NA
4064,Poland,3,NA,50
4065,Poland,NA,NA,NA
4066,Poland,2,NA,NA
4067,Poland,2,NA,NA
4068,Poland,2,NA,NA
4069,Poland,3,NA,10
4070,Poland,2,NA,NA
4071,Poland,3,NA,20
4072,Poland,NA,NA,NA
4073,Poland,NA,NA,NA
4074,Poland,3,NA,75
4075,Poland,2,NA,NA
4076,Poland,NA,NA,NA
4077,Poland,3,NA,55
4078,Poland,1,10,NA
4079,Poland,2,NA,NA
4080,Poland,3,NA,20
4081,Poland,3,NA,-9
4082,Poland,3,NA,40
4083,Poland,3,NA,10
4084,Poland,NA,NA,NA
4085,Poland,3,NA,10
4086,Poland,NA,NA,NA
4087,Poland,2,NA,NA
4088,Poland,NA,NA,NA
4089,Poland,NA,NA,NA
4090,Poland,2,NA,NA
4091,Poland,1,20,NA
4092,Poland,NA,NA,NA
4093,Poland,3,NA,50
4094,Poland,2,NA,NA
4095,Poland,NA,NA,NA
4096,Poland,NA,NA,NA
4097,Poland,2,NA,NA
4098,Poland,NA,NA,NA
4099,Poland,NA,NA,NA
4100,Poland,2,NA,NA
4101,Poland,3,NA,15
4102,Poland,2,NA,NA
4103,Poland,3,NA,10
4104,Poland,NA,NA,NA
4105,Poland,2,NA,NA
4106,Poland,2,NA,NA
4107,Poland,NA,NA,NA
4108,Poland,2,NA,NA
4109,Poland,2,NA,NA
4110,Poland,2,NA,NA
4111,Poland,2,NA,NA
4112,Poland,3,NA,20
4113,Poland,2,NA,NA
4114,Poland,2,NA,NA
4115,Poland,NA,NA,NA
4116,Poland,NA,NA,NA
4117,Poland,2,NA,NA
4118,Poland,NA,NA,NA
4119,Poland,NA,NA,NA
4120,Poland,3,NA,10
4121,Poland,2,NA,NA
4122,Poland,3,NA,10
4123,Poland,2,NA,NA
4124,Poland,3,NA,60
4125,Poland,NA,NA,NA
4126,Poland,2,NA,NA
4127,Poland,3,NA,10
4128,Poland,NA,NA,NA
4129,Poland,3,NA,55
4130,Poland,2,NA,NA
4131,Poland,2,NA,NA
4132,Poland,NA,NA,NA
4133,Poland,2,NA,NA
4134,Poland,2,NA,NA
4135,Poland,NA,NA,NA
4136,Poland,2,NA,NA
4137,Poland,3,NA,30
4138,Poland,2,NA,NA
4139,Poland,2,NA,NA
4140,Poland,3,NA,5
4141,Poland,3,NA,50
4142,Poland,2,NA,NA
4143,Poland,3,NA,70
4144,Poland,NA,NA,NA
4145,Poland,NA,NA,NA
4146,Poland,3,NA,40
4147,Poland,3,NA,30
4148,Poland,3,NA,-9
4149,Poland,1,20,NA
4150,Poland,1,40,NA
4151,Poland,3,NA,-9
4152,Poland,3,NA,70
4153,Poland,NA,NA,NA
4154,Poland,2,NA,NA
4155,Poland,3,NA,15
4156,Poland,NA,NA,NA
4157,Poland,3,NA,20
4158,Poland,3,NA,20
4159,Poland,3,NA,20
4160,Poland,3,NA,28
4161,Poland,3,NA,40
4162,Poland,2,NA,NA
4163,Poland,NA,NA,NA
4164,Poland,2,NA,NA
4165,Poland,NA,NA,NA
4166,Poland,3,NA,-9
4167,Poland,2,NA,NA
4168,Poland,2,NA,NA
4169,Poland,NA,NA,NA
4170,Poland,3,NA,20
4171,Poland,3,NA,-9
4172,Poland,NA,NA,NA
4173,Poland,2,NA,NA
4174,Poland,NA,NA,NA
4175,Poland,3,NA,25
4176,Poland,1,20,NA
4177,Poland,3,NA,40
4178,Poland,3,NA,70
4179,Poland,3,NA,-9
4180,Poland,NA,NA,NA
4181,Poland,NA,NA,NA
4182,Poland,NA,NA,NA
4183,Poland,2,NA,NA
4184,Poland,1,20,NA
4185,Poland,2,NA,NA
4186,Poland,3,NA,35
4187,Poland,3,NA,25
4188,Poland,NA,NA,NA
4189,Poland,3,NA,70
4190,Poland,2,NA,NA
4191,Poland,2,NA,NA
4192,Poland,2,NA,NA
4193,Poland,3,NA,40
4194,Poland,2,NA,NA
4195,Poland,NA,NA,NA
4196,Poland,3,NA,35
4197,Poland,2,NA,NA
4198,Poland,3,NA,35
4199,Poland,3,NA,25
4200,Poland,2,NA,NA
4201,Poland,3,NA,70
4202,Poland,3,NA,40
4203,Poland,3,NA,10
4204,Poland,3,NA,5
4205,Poland,2,NA,NA
4206,Poland,1,20,NA
4207,Poland,NA,NA,NA
4208,Poland,3,NA,35
4209,Poland,3,NA,50
4210,Poland,2,NA,NA
4211,Poland,3,NA,70
4212,Poland,2,NA,NA
4213,Poland,2,NA,NA
4214,Poland,2,NA,NA
4215,Poland,3,NA,40
4216,Poland,3,NA,50
4217,Poland,3,NA,15
4218,Poland,2,NA,NA
4219,Poland,3,NA,10
4220,Poland,NA,NA,NA
4221,Poland,NA,NA,NA
4222,Poland,3,NA,30
4223,Poland,3,NA,70
4224,Poland,3,NA,-9
4225,Poland,3,NA,20
4226,Poland,3,NA,25
4227,Poland,2,NA,NA
4228,Poland,3,NA,20
4229,Poland,NA,NA,NA
4230,Poland,3,NA,30
4231,Poland,2,NA,NA
4232,Poland,2,NA,NA
4233,Poland,2,NA,NA
4234,Poland,2,NA,NA
4235,Poland,NA,NA,NA
4236,Poland,2,NA,NA
4237,Poland,2,NA,NA
4238,Poland,3,NA,30
4239,Poland,2,NA,NA
4240,Poland,NA,NA,NA
4241,Poland,2,NA,NA
4242,Poland,3,NA,25
4243,Poland,3,NA,10
4244,Poland,2,NA,NA
4245,Poland,2,NA,NA
4246,Poland,3,NA,50
4247,Poland,3,NA,5
4248,Poland,2,NA,NA
4249,Poland,NA,NA,NA
4250,Poland,3,NA,-9
4251,Poland,3,NA,30
4252,Poland,3,NA,-9
4253,Poland,NA,NA,NA
4254,Poland,3,NA,30
4255,Poland,2,NA,NA
4256,Poland,3,NA,40
4257,Poland,2,NA,NA
4258,Poland,2,NA,NA
4259,Poland,3,NA,20
4260,Poland,2,NA,NA
4261,Poland,3,NA,10
4262,Poland,2,NA,NA
4263,Poland,2,NA,NA
4264,Poland,3,NA,15
4265,Poland,NA,NA,NA
4266,Poland,3,NA,30
4267,Poland,NA,NA,NA
4268,Poland,2,NA,NA
4269,Poland,3,NA,45
4270,Poland,2,NA,NA
4271,Poland,2,NA,NA
4272,Poland,3,NA,30
4273,Poland,2,NA,NA
4274,Poland,NA,NA,NA
4275,Poland,1,10,NA
4276,Poland,3,NA,30
4277,Poland,3,NA,40
4278,Poland,NA,NA,NA
4279,Poland,3,NA,30
4280,Poland,3,NA,100
4281,Poland,NA,NA,NA
4282,Poland,3,NA,20
4283,Poland,2,NA,NA
4284,Poland,2,NA,NA
4285,Poland,3,NA,50
4286,Poland,3,NA,30
4287,Poland,3,NA,30
4288,Poland,3,NA,-9
4289,Poland,1,10,NA
4290,Poland,3,NA,-9
4291,Poland,3,NA,25
4292,Poland,2,NA,NA
4293,Poland,3,NA,30
4294,Poland,3,NA,10
4295,Poland,2,NA,NA
4296,Poland,1,-9,NA
4297,Poland,2,NA,NA
4298,Poland,3,NA,60
4299,Poland,NA,NA,NA
4300,Poland,NA,NA,NA
4301,Poland,NA,NA,NA
4302,Poland,3,NA,30
4303,Poland,2,NA,NA
4304,Poland,NA,NA,NA
4305,Poland,2,NA,NA
4306,Poland,NA,NA,NA
4307,Poland,2,NA,NA
4308,Poland,2,NA,NA
4309,Poland,3,NA,20
4310,Poland,2,NA,NA
4311,Poland,3,NA,15
4312,Poland,NA,NA,NA
4313,Poland,2,NA,NA
4314,Poland,2,NA,NA
4315,Poland,3,NA,30
4316,Poland,NA,NA,NA
4317,Poland,NA,NA,NA
4318,Poland,2,NA,NA
4319,Poland,NA,NA,NA
4320,Poland,NA,NA,NA
4321,Poland,2,NA,NA
4322,Poland,NA,NA,NA
4323,Poland,2,NA,NA
4324,Poland,2,NA,NA
4325,Poland,3,NA,20
4326,Poland,NA,NA,NA
4327,Poland,3,NA,25
4328,Poland,3,NA,80
4329,Poland,3,NA,55
4330,Poland,2,NA,NA
4331,Poland,NA,NA,NA
4332,Poland,3,NA,50
4333,Poland,NA,NA,NA
4334,Poland,3,NA,35
4335,Poland,3,NA,30
4336,Poland,3,NA,32
4337,Poland,2,NA,NA
4338,Poland,3,NA,60
4339,Poland,3,NA,50
4340,Poland,NA,NA,NA
4341,Poland,NA,NA,NA
4342,Poland,3,NA,-9
4343,Poland,3,NA,5
4344,Poland,NA,NA,NA
4345,Poland,3,NA,30
4346,Poland,2,NA,NA
4347,Poland,NA,NA,NA
4348,Poland,NA,NA,NA
4349,Poland,NA,NA,NA
4350,Poland,NA,NA,NA
4351,Poland,2,NA,NA
4352,Poland,2,NA,NA
4353,Poland,3,NA,-9
4354,Poland,2,NA,NA
4355,Poland,3,NA,40
4356,Poland,NA,NA,NA
4357,Poland,NA,NA,NA
4358,Poland,NA,NA,NA
4359,Poland,3,NA,10
4360,Poland,2,NA,NA
4361,Poland,3,NA,25
4362,Poland,NA,NA,NA
4363,Poland,2,NA,NA
4364,Poland,2,NA,NA
4365,Poland,3,NA,5
4366,Poland,2,NA,NA
4367,Poland,3,NA,30
4368,Poland,NA,NA,NA
4369,Poland,2,NA,NA
4370,Poland,2,NA,NA
4371,Poland,2,NA,NA
4372,Poland,NA,NA,NA
4373,Poland,3,NA,40
4374,Poland,3,NA,24
4375,Poland,NA,NA,NA
4376,Poland,3,NA,20
4377,Poland,3,NA,30
4378,Poland,NA,NA,NA
4379,Poland,3,NA,-9
4380,Poland,2,NA,NA
4381,Poland,NA,NA,NA
4382,Poland,3,NA,10
4383,Poland,2,NA,NA
4384,Poland,2,NA,NA
4385,Poland,3,NA,-9
4386,Poland,3,NA,99
4387,Poland,NA,NA,NA
4388,Poland,3,NA,-9
4389,Poland,2,NA,NA
4390,Poland,2,NA,NA
4391,Poland,3,NA,25
4392,Poland,3,NA,20
4393,Poland,NA,NA,NA
4394,Poland,2,NA,NA
4395,Poland,2,NA,NA
4396,Poland,2,NA,NA
4397,Poland,1,40,NA
4398,Poland,3,NA,20
4399,Poland,NA,NA,NA
4400,Poland,2,NA,NA
4401,Poland,2,NA,NA
4402,Poland,NA,NA,NA
4403,Poland,2,NA,NA
4404,Poland,3,NA,10
4405,Poland,-9,NA,NA
4406,Poland,3,NA,50
4407,Poland,3,NA,30
4408,Poland,3,NA,30
4409,Poland,1,10,NA
4410,Poland,2,NA,NA
4411,Poland,3,NA,12
4412,Poland,3,NA,20
4413,Poland,3,NA,30
4414,Poland,2,NA,NA
4415,Poland,1,25,NA
4416,Poland,3,NA,45
4417,Poland,NA,NA,NA
4418,Poland,3,NA,10
4419,Poland,NA,NA,NA
4420,Poland,3,NA,75
4421,Poland,3,NA,25
4422,Poland,2,NA,NA
4423,Poland,NA,NA,NA
4424,Poland,NA,NA,NA
4425,Poland,2,NA,NA
4426,Poland,NA,NA,NA
4427,Poland,2,NA,NA
4428,Poland,2,NA,NA
4429,Poland,2,NA,NA
4430,Poland,3,NA,30
4431,Poland,3,NA,20
4432,Poland,-9,NA,NA
4433,Poland,NA,NA,NA
4434,Poland,3,NA,30
4435,Poland,NA,NA,NA
4436,Poland,3,NA,90
4437,Poland,3,NA,-9
4438,Poland,NA,NA,NA
4439,Poland,NA,NA,NA
4440,Poland,2,NA,NA
4441,Poland,3,NA,30
4442,Poland,3,NA,35
4443,Poland,NA,NA,NA
4444,Poland,NA,NA,NA
4445,Poland,NA,NA,NA
4446,Poland,3,NA,5
4447,Poland,2,NA,NA
4448,Poland,NA,NA,NA
4449,Poland,3,NA,-9
4450,Poland,NA,NA,NA
4451,Poland,2,NA,NA
4452,Poland,2,NA,NA
4453,Poland,2,NA,NA
4454,Poland,2,NA,NA
4455,Poland,NA,NA,NA
4456,Poland,2,NA,NA
4457,Poland,2,NA,NA
4458,Poland,3,NA,30
4459,Poland,2,NA,NA
4460,Poland,NA,NA,NA
4461,Poland,3,NA,-9
4462,Poland,3,NA,25
4463,Poland,2,NA,NA
4464,Poland,NA,NA,NA
4465,Poland,NA,NA,NA
4466,Poland,3,NA,30
4467,Poland,NA,NA,NA
4468,Poland,NA,NA,NA
4469,Poland,3,NA,25
4470,Poland,2,NA,NA
4471,Poland,3,NA,50
4472,Poland,3,NA,50
4473,Poland,1,15,NA
4474,Poland,2,NA,NA
4475,Poland,3,NA,30
4476,Poland,2,NA,NA
4477,Poland,2,NA,NA
4478,Poland,2,NA,NA
4479,Poland,3,NA,25
4480,Poland,NA,NA,NA
4481,Poland,3,NA,30
4482,Poland,2,NA,NA
4483,Poland,2,NA,NA
4484,Poland,NA,NA,NA
4485,Poland,3,NA,30
4486,Poland,2,NA,NA
4487,Poland,NA,NA,NA
4488,Poland,2,NA,NA
4489,Poland,3,NA,-9
4490,Poland,NA,NA,NA
4491,Poland,2,NA,NA
4492,Poland,1,2,NA
4493,Poland,3,NA,10
4494,Poland,3,NA,80
4495,Poland,NA,NA,NA
4496,Poland,2,NA,NA
4497,Poland,2,NA,NA
4498,Poland,3,NA,10
4499,Poland,2,NA,NA
4500,Poland,2,NA,NA
4501,Poland,3,NA,30
4502,Poland,3,NA,10
4503,Poland,NA,NA,NA
4504,Poland,NA,NA,NA
4505,Poland,NA,NA,NA
4506,Poland,NA,NA,NA
4507,Poland,NA,NA,NA
4508,Poland,NA,NA,NA
4509,Poland,2,NA,NA
4510,Poland,2,NA,NA
4511,Poland,2,NA,NA
4512,Poland,3,NA,-9
4513,Poland,2,NA,NA
4514,Poland,3,NA,-9
4515,Poland,2,NA,NA
4516,Poland,NA,NA,NA
4517,Poland,2,NA,NA
4518,Poland,NA,NA,NA
4519,Poland,2,NA,NA
4520,Poland,3,NA,10
4521,Poland,NA,NA,NA
4522,Poland,NA,NA,NA
4523,Poland,2,NA,NA
4524,Poland,NA,NA,NA
4525,Poland,2,NA,NA
4526,Poland,3,NA,-9
4527,Poland,NA,NA,NA
4528,Poland,NA,NA,NA
4529,Poland,3,NA,20
4530,Poland,2,NA,NA
4531,Poland,2,NA,NA
4532,Poland,3,NA,-9
4533,Poland,2,NA,NA
4534,Poland,NA,NA,NA
4535,Poland,3,NA,30
4536,Poland,NA,NA,NA
4537,Poland,2,NA,NA
4538,Poland,2,NA,NA
4539,Poland,3,NA,30
4540,Poland,2,NA,NA
4541,Poland,3,NA,40
4542,Poland,2,NA,NA
4543,Poland,2,NA,NA
4544,Poland,3,NA,20
4545,Poland,-9,NA,NA
4546,Poland,2,NA,NA
4547,Poland,NA,NA,NA
4548,Poland,3,NA,15
4549,Poland,3,NA,30
4550,Poland,3,NA,45
4551,Poland,2,NA,NA
4552,Poland,2,NA,NA
4553,Poland,3,NA,35
4554,Poland,2,NA,NA
4555,Poland,2,NA,NA
4556,Poland,NA,NA,NA
4557,Poland,3,NA,20
4558,Poland,NA,NA,NA
4559,Poland,2,NA,NA
4560,Poland,3,NA,95
4561,Poland,2,NA,NA
4562,Poland,NA,NA,NA
4563,Poland,2,NA,NA
4564,Poland,NA,NA,NA
4565,Poland,NA,NA,NA
4566,Poland,3,NA,50
4567,Poland,3,NA,30
4568,Poland,3,NA,-9
4569,Poland,2,NA,NA
4570,Poland,NA,NA,NA
4571,Poland,NA,NA,NA
4572,Poland,3,NA,-9
4573,Poland,3,NA,50
4574,Poland,2,NA,NA
4575,Poland,NA,NA,NA
4576,Poland,2,NA,NA
4577,Poland,2,NA,NA
4578,Poland,3,NA,70
4579,Poland,3,NA,30
4580,Poland,1,20,NA
4581,Poland,NA,NA,NA
4582,Poland,NA,NA,NA
4583,Poland,NA,NA,NA
4584,Poland,NA,NA,NA
4585,Poland,3,NA,30
4586,Poland,NA,NA,NA
4587,Poland,2,NA,NA
4588,Poland,2,NA,NA
4589,Poland,3,NA,30
4590,Poland,2,NA,NA
4591,Poland,2,NA,NA
4592,Poland,2,NA,NA
4593,Poland,2,NA,NA
4594,Poland,3,NA,35
4595,Poland,2,NA,NA
4596,Poland,NA,NA,NA
4597,Poland,3,NA,30
4598,Poland,2,NA,NA
4599,Poland,NA,NA,NA
4600,Poland,3,NA,10
4601,Poland,NA,NA,NA
4602,Poland,2,NA,NA
4603,Poland,NA,NA,NA
4604,Poland,NA,NA,NA
4605,Poland,NA,NA,NA
4606,Poland,1,25,NA
4607,Poland,2,NA,NA
4608,Poland,3,NA,30
4609,Poland,3,NA,15
4610,Poland,3,NA,-9
4611,Poland,3,NA,10
4612,Poland,NA,NA,NA
4613,Poland,3,NA,30
4614,Poland,3,NA,35
4615,Poland,2,NA,NA
4616,Poland,3,NA,30
4617,Poland,3,NA,50
4618,Poland,NA,NA,NA
4619,Poland,3,NA,60
4620,Poland,NA,NA,NA
4621,Poland,NA,NA,NA
4622,Poland,2,NA,NA
4623,Poland,3,NA,-9
4624,Poland,2,NA,NA
4625,Poland,2,NA,NA
4626,Poland,NA,NA,NA
4627,Poland,2,NA,NA
4628,Poland,3,NA,-9
4629,Poland,NA,NA,NA
4630,Poland,3,NA,20
4631,Poland,2,NA,NA
4632,Poland,3,NA,31
4633,Poland,3,NA,-9
4634,Poland,3,NA,30
4635,Poland,NA,NA,NA
4636,Poland,NA,NA,NA
4637,Poland,2,NA,NA
4638,Poland,NA,NA,NA
4639,Poland,2,NA,NA
4640,Poland,NA,NA,NA
4641,Poland,3,NA,50
4642,Poland,3,NA,-9
4643,Poland,3,NA,2
4644,Poland,3,NA,32
4645,Poland,NA,NA,NA
4646,Poland,3,NA,80
4647,Poland,3,NA,20
4648,Poland,NA,NA,NA
4649,Poland,NA,NA,NA
4650,Poland,3,NA,20
4651,Poland,2,NA,NA
4652,Poland,NA,NA,NA
4653,Poland,3,NA,70
