r0_1,r2_1,r6_1,x_1,y_1,totalR_1,r0_2,r2_2,r6_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
Infinity,1.4508699,1.3844517,-0.35,22.35,Infinity,0.9781496,0.5815247,0.4588634,-0.49,21.96,2.0185378,NaN,NaN,Infinity
Infinity,1.4705924,1.3844517,-0.39,22.39,Infinity,1.0396144,0.5837128,0.4615474,-0.53,22.09,2.0848746,NaN,NaN,Infinity
Infinity,1.4987305,1.3955125,-0.41,22.41,Infinity,1.1015105,0.60073525,0.46442053,-0.61,22.22,2.1666663,NaN,NaN,Infinity
Infinity,1.5213852,1.4482113,-0.36,22.36,Infinity,1.1553102,0.62101436,0.47529346,-0.65,22.29,2.251618,NaN,NaN,Infinity
Infinity,1.5582398,1.4148129,-0.47,22.47,Infinity,1.2045479,0.64266634,0.5136584,-0.58,22.2,2.3608727,NaN,NaN,Infinity
Infinity,1.5758708,1.4395478,-0.46,22.46,Infinity,1.2516923,0.66539925,0.49355453,-0.74,22.41,2.4106462,NaN,NaN,Infinity
Infinity,1.5991333,1.443852,-0.49,22.49,Infinity,1.2936714,0.6780317,0.50609314,-0.75,22.43,2.477796,NaN,NaN,Infinity
Infinity,1.6088501,1.4616323,-0.47,22.47,Infinity,1.3318082,0.6925244,0.50609314,-0.8,22.51,2.5304255,NaN,NaN,Infinity
Infinity,1.6188182,1.4708787,-0.47,22.47,Infinity,1.3750153,0.7045821,0.5086314,-0.84,22.56,2.588229,NaN,NaN,Infinity
Infinity,1.6239,1.4755963,-0.46,22.46,Infinity,1.3692963,0.7116499,0.50609314,-0.86,22.58,2.5870395,NaN,NaN,Infinity
Infinity,1.6188182,1.4852271,-0.44,22.44,Infinity,1.3867533,0.71850526,0.4985716,-0.91,22.65,2.60383,NaN,NaN,Infinity
Infinity,1.6239,1.4901437,-0.44,22.44,Infinity,1.398913,0.7251099,0.4909516,-0.96,22.7,2.6149745,NaN,NaN,Infinity
Infinity,1.6290492,1.4951298,-0.44,22.44,Infinity,1.4051594,0.7303565,0.49604034,-0.95,22.7,2.6315563,NaN,NaN,Infinity
Infinity,1.613802,1.543456,-0.35,22.35,Infinity,1.4180037,0.72823995,0.5011498,-0.94,22.68,2.6473932,NaN,NaN,Infinity
0.3911694,1.6188182,1.5105247,2.69,13.85,3.5205123,1.4246091,0.7368545,0.50609314,-0.94,22.68,2.6675568,NaN,NaN,6.1880693
0.45176324,1.6188182,1.5158081,2.59,14.13,3.5863895,1.4313426,0.74019015,0.5136584,-0.92,22.66,2.6851912,1.358457,12.142632,6.2715807
0.48830903,1.6239,1.5158081,2.53,14.31,3.6280172,1.4382085,0.7470438,0.5279895,-0.89,22.61,2.7132416,1.358457,12.142632,6.341259
0.52805287,1.6290492,1.5211706,2.45,14.51,3.6782727,1.4382085,0.7517544,0.54882956,-0.82,22.53,2.7387924,1.320607,11.999983,6.417065
0.56034994,1.6239,1.5105247,2.38,14.7,3.6947746,1.4452112,0.75475866,0.56003946,-0.79,22.5,2.7600093,1.320607,11.999983,6.454784
0.63539535,1.6395558,1.5053186,2.23,15.11,3.7802699,1.4452112,0.7666222,0.5777923,-0.76,22.44,2.7896256,1.2995806,11.874913,6.5698957
0.6984902,1.6449165,1.5053186,2.09,15.48,3.8487253,1.4746925,0.7725048,0.60103786,-0.7,22.38,2.8482351,1.2636672,11.782486,6.6969604
0.75472224,1.6449165,1.5053186,1.98,15.8,3.9049573,1.4452112,0.78412,0.6134635,-0.67,22.31,2.842795,1.2636672,11.782486,6.747752
0.79389346,1.6558615,1.5158081,1.91,15.99,3.965563,1.4596472,0.7949629,0.6351811,-0.63,22.26,2.8897913,1.2185736,11.635898,6.8553543
0.8256944,1.6558615,1.5105247,1.83,16.19,3.9920807,1.4596472,0.80879116,0.64909565,-0.62,22.22,2.9175339,1.2185736,11.635898,6.9096146
0.8470974,1.6503512,1.5266144,1.81,16.27,4.024063,1.4670908,0.81855613,0.65488607,-0.62,22.23,2.940533,1.196705,11.553412,6.964596
0.8959086,1.6558615,1.5321417,1.73,16.51,4.083912,1.4746925,0.8227644,0.660866,-0.62,22.22,2.9583228,1.200337,11.52459,7.0422344
0.8679768,1.6449165,1.5377548,1.79,16.36,4.0506477,1.4824582,0.852862,0.66464484,-0.67,22.26,2.9999652,1.200337,11.52459,7.050613
0.88285756,1.6395558,1.5492479,1.77,16.42,4.071661,1.4903942,0.8470651,0.66464484,-0.66,22.27,3.0021043,1.2045029,11.502473,7.0737653
0.8959086,1.6449165,1.5611137,1.76,16.46,4.1019387,1.5068039,0.85781413,0.6699697,-0.67,22.27,3.0345879,1.2045029,11.502473,7.1365266
0.90404475,1.6558615,1.5611137,1.74,16.49,4.12102,1.5068039,0.8971786,0.67393994,-0.73,22.31,3.0779223,1.210368,11.466669,7.198942
0.9210601,1.6503512,1.5611137,1.71,16.58,4.132525,1.5068039,0.86185837,0.6853095,-0.63,22.22,3.0539718,1.1986418,11.476193,7.1864967
0.9438599,1.6449165,1.5671934,1.67,16.7,4.1559696,1.52398,0.8680681,0.6962671,-0.62,22.21,3.0883152,1.1986418,11.476193,7.2442846
0.96011394,1.6449165,1.5671934,1.64,16.78,4.172224,1.52398,0.87772256,0.67953956,-0.69,22.28,3.081242,1.2041157,11.406189,7.253466
0.98811376,1.6395558,1.5671934,1.59,16.94,4.194863,1.5328754,0.87445754,0.70550174,-0.61,22.19,3.1128347,1.2041157,11.406189,7.3076973
1.00897,1.6449165,1.5671934,1.56,17.02,4.22108,1.5328754,0.8866697,0.7108934,-0.62,22.19,3.1304386,1.1893348,11.355992,7.3515186
1.0169145,1.6395558,1.5733745,1.55,17.07,4.229845,1.5419873,0.88327265,0.71643585,-0.6,22.17,3.141696,1.1816493,11.338508,7.371541
1.0334289,1.6395558,1.5733745,1.52,17.14,4.246359,1.5513253,0.8843993,0.7202181,-0.59,22.17,3.155943,1.1816493,11.338508,7.402302
1.0463997,1.6449165,1.5733745,1.5,17.19,4.2646904,1.5513253,0.8843993,0.71643585,-0.6,22.18,3.1521606,1.1839458,11.29698,7.416851
1.0442014,1.6449165,1.5671934,1.49,17.2,4.2563114,1.5513253,0.8788217,0.7214948,-0.58,22.16,3.1516418,1.1839458,11.29698,7.4079533
1.0530854,1.6503512,1.5796604,1.49,17.21,4.2830973,1.5608994,0.8843993,0.7286651,-0.57,22.15,3.1739638,1.1762581,11.2828045,7.457061
1.0599109,1.6614496,1.5796604,1.49,17.22,4.3010206,1.5608994,0.88781357,0.72537434,-0.59,22.18,3.174087,1.1784681,11.279704,7.4751077
1.0764097,1.6614496,1.5796604,1.46,17.29,4.3175197,1.5707202,0.8912803,0.7326856,-0.58,22.17,3.194686,1.1784681,11.279704,7.5122056
1.0862181,1.6728663,1.586054,1.45,17.32,4.3451385,1.5707202,0.8924478,0.7360975,-0.57,22.15,3.1992657,1.1693302,11.258358,7.544404
1.1041007,1.6786993,1.5925586,1.43,17.37,4.3753586,1.5707202,0.8971786,0.75033885,-0.54,22.11,3.2182376,1.1693302,11.258358,7.5935965
1.1067338,1.6786993,1.586054,1.42,17.4,4.371487,1.5807991,0.90200955,0.76247424,-0.52,22.08,3.245283,1.158897,11.243962,7.61677
1.1093873,1.6846181,1.5925586,1.42,17.39,4.3865643,1.5807991,0.8995813,0.76961815,-0.5,22.05,3.2499986,1.1504658,11.255407,7.636563
1.1202102,1.6846181,1.586054,1.4,17.45,4.390882,1.5807991,0.90446377,0.77617425,-0.48,22.03,3.2614372,1.1504658,11.255407,7.652319
1.14,1.690625,1.586054,1.37,17.52,4.416679,1.5911483,0.90819496,0.7795284,-0.49,22.03,3.2788715,1.1450408,11.248693,7.6955504
1.1371037,1.6846181,1.586054,1.37,17.52,4.407776,1.5707202,0.90200955,0.78293496,-0.46,21.99,3.2556646,1.1341895,11.230094,7.6634407
1.1488342,1.690625,1.586054,1.35,17.57,4.4255133,1.5911483,0.90945214,0.78814656,-0.47,22.01,3.2887468,1.1341895,11.230094,7.71426
1.1609645,1.7029123,1.586054,1.33,17.62,4.4499307,1.5807991,0.9069445,0.80361795,-0.42,21.94,3.2913616,1.1268418,11.236893,7.741292
1.1578932,1.6846181,1.586054,1.34,17.62,4.428565,1.5807991,0.9145505,0.8008083,-0.44,21.97,3.2961578,1.1268418,11.236893,7.724723
1.1703385,1.6786993,1.5733745,1.3,17.71,4.422412,1.5911483,0.9132654,0.8074196,-0.42,21.94,3.3118331,1.1280386,11.224973,7.7342453
1.1832263,1.6728663,1.5925586,1.3,17.74,4.4486513,1.5807991,0.9158428,0.80174094,-0.44,21.96,3.2983828,1.1280386,11.224973,7.747034
1.1965835,1.6846181,1.5733745,1.25,17.84,4.4545765,1.5911483,0.9132654,0.8306082,-0.36,21.87,3.3350217,1.129739,11.185744,7.7895985
1.2069273,1.6671171,1.5733745,1.24,17.89,4.447419,1.5911483,0.91844904,0.79895467,-0.46,21.98,3.308552,1.1210512,11.160839,7.755971
1.2248279,1.6503512,1.5733745,1.21,18.01,4.4485536,1.5911483,0.91844904,0.8008083,-0.45,21.97,3.3104057,1.1210512,11.160839,7.7589593
1.228512,1.6449165,1.5733745,1.2,18.02,4.446803,1.5807991,0.9197631,0.79169095,-0.48,22,3.292253,1.1267464,11.10524,7.739056
1.2322322,1.6290492,1.5796604,1.2,18.06,4.440942,1.5911483,0.9197631,0.79169095,-0.48,22.01,3.3026023,1.1267464,11.10524,7.743544
