r0_1,r2_1,r6_1,x_1,y_1,totalR_1,r0_2,r2_2,r6_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
4.1318073,1.1117046,1.4069576,0.31,21.56,6.65047,1.4746925,1.2080054,0.4615474,-1.59,23.35,3.1442451,0.9386222,7.4676375,9.794715
4.1318073,1.103422,1.4188111,0.34,21.53,6.6540403,1.4824582,1.2158029,0.4531741,-1.62,23.39,3.1514354,0.9418461,7.529503,9.805475
4.1318073,1.103422,1.4352974,0.36,21.51,6.670527,1.4824582,1.2197767,0.4588634,-1.61,23.37,3.1610985,0.9564888,7.5371485,9.831625
4.1318073,1.107531,1.4526268,0.37,21.49,6.691965,1.5068039,1.2580125,0.4531741,-1.64,23.42,3.2179904,0.9564888,7.5371485,9.909956
3.9587197,1.1096096,1.4755963,0.4,21.46,6.543926,1.52398,1.2404438,0.4531741,-1.64,23.43,3.217598,0.9662053,7.586565,9.761524
3.9587197,1.1117046,1.4901437,0.41,21.44,6.560568,1.5328754,1.2535287,0.49604034,-1.57,23.32,3.2824445,0.9662053,7.586565,9.843012
3.9587197,1.1191692,1.5001876,0.42,21.43,6.5780764,1.5608994,1.2580125,0.4010766,-1.74,23.6,3.2199886,0.98637944,7.7902946,9.798065
3.9587197,1.1013913,1.5211706,0.46,21.38,6.5812817,1.5707202,1.2625604,Infinity,1.71,18.18,Infinity,1.0327078,7.6959963,Infinity
3.8070421,1.0953913,1.5321417,0.48,21.36,6.434575,1.5807991,1.2625604,Infinity,1.69,18.24,Infinity,1.0327078,7.6959963,Infinity
3.8070421,1.087599,1.5377548,0.49,21.35,6.432396,1.6017808,1.2580125,Infinity,1.67,18.33,Infinity,NaN,NaN,Infinity
3.8070421,1.0819039,1.5492479,0.51,21.33,6.438194,1.623952,1.2535287,Infinity,1.65,18.41,Infinity,NaN,NaN,Infinity
3.8070421,1.0781757,1.5671934,0.53,21.32,6.452411,1.6355219,1.2535287,Infinity,1.64,18.45,Infinity,NaN,NaN,Infinity
3.8070421,1.066418,1.5733745,0.55,21.29,6.4468346,1.6474369,1.2535287,Infinity,1.63,18.48,Infinity,NaN,NaN,Infinity
3.8070421,1.0501536,1.586054,0.58,21.28,6.4432497,1.6597157,1.2491068,Infinity,1.61,18.54,Infinity,NaN,NaN,Infinity
3.8070421,1.041997,1.5925586,0.59,21.27,6.441598,1.6597157,1.2580125,Infinity,1.62,18.52,Infinity,NaN,NaN,Infinity
3.9587197,1.0356582,1.5925586,0.6,21.27,6.586937,1.6723781,1.2535287,Infinity,1.61,18.55,Infinity,NaN,NaN,Infinity
3.9587197,1.0317771,1.6059152,0.61,21.25,6.5964117,1.6723781,1.2580125,Infinity,1.61,18.55,Infinity,NaN,NaN,Infinity
3.8070421,1.0317771,1.6059152,0.61,21.25,6.4447346,1.6854459,1.2580125,Infinity,1.61,18.57,Infinity,NaN,NaN,Infinity
3.9587197,1.0356582,1.6059152,0.61,21.26,6.600293,1.6989423,1.2625604,Infinity,1.6,18.6,Infinity,NaN,NaN,Infinity
3.8070421,1.0317771,1.6127744,0.62,21.24,6.451594,1.6854459,1.2625604,Infinity,1.61,18.56,Infinity,NaN,NaN,Infinity
3.9587197,1.0444162,1.6197596,0.61,21.26,6.6228952,1.6989423,1.2671733,Infinity,1.6,18.59,Infinity,NaN,NaN,Infinity
3.9587197,1.0460421,1.6268746,0.61,21.26,6.631636,1.6854459,1.2671733,0.40440473,-1.77,23.65,3.3570237,NaN,NaN,9.98866
4.1318073,1.0560249,1.6268746,0.6,21.27,6.814707,1.6854459,1.2766023,0.4445282,-1.71,23.56,3.4065762,1.0781032,7.6069417,10.221283
4.1318073,1.0620358,1.6268746,0.59,21.28,6.8207173,1.6854459,1.2863133,0.5035997,-1.62,23.42,3.475359,1.0781032,7.6069417,10.296076
