r0_1,r2_1,r6_1,x_1,y_1,totalR_1,r0_2,r2_2,r6_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
2.8999617,1.502409,Infinity,1.29,19.83,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.8999617,1.5061255,Infinity,1.3,19.81,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.8999617,1.513675,Infinity,1.3,19.82,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.8999617,1.5253024,Infinity,1.3,19.79,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.9611716,1.5332649,Infinity,1.3,19.78,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.9611716,1.537312,Infinity,1.31,19.78,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.9611716,1.5582398,Infinity,1.31,19.76,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.9611716,1.5582398,Infinity,1.31,19.75,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.9611716,1.5758708,Infinity,1.32,19.71,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.9611716,1.589657,Infinity,1.33,19.69,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.9611716,1.5991333,Infinity,1.33,19.68,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.9611716,1.613802,Infinity,1.34,19.65,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.0267572,1.6239,Infinity,1.34,19.64,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.0267572,1.6342672,Infinity,1.35,19.61,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.9611716,1.6449165,Infinity,1.36,19.57,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.9611716,1.6558615,Infinity,1.36,19.56,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.9611716,1.6558615,Infinity,1.37,19.52,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
