YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1850,-0.702,-0.284,-0.732,-0.57,-0.325,-0.213,-0.128,-0.233,-0.444,-0.452,-0.19,-0.268,-0.375
1851,-0.303,-0.362,-0.485,-0.445,-0.302,-0.189,-0.215,-0.153,-0.108,-0.063,-0.03,-0.067,-0.223
1852,-0.308,-0.477,-0.505,-0.559,-0.209,-0.038,-0.016,-0.195,-0.125,-0.216,-0.187,0.083,-0.224
1853,-0.177,-0.33,-0.318,-0.352,-0.268,-0.179,-0.059,-0.148,-0.409,-0.359,-0.256,-0.444,-0.271
1854,-0.36,-0.28,-0.284,-0.349,-0.23,-0.215,-0.228,-0.163,-0.115,-0.188,-0.369,-0.232,-0.246
1855,-0.176,-0.4,-0.303,-0.217,-0.336,-0.16,-0.268,-0.159,-0.339,-0.211,-0.212,-0.51,-0.271
1856,-0.119,-0.373,-0.513,-0.371,-0.119,-0.288,-0.297,-0.305,-0.459,-0.384,-0.608,-0.44,-0.352
1857,-0.512,-0.344,-0.434,-0.646,-0.567,-0.31,-0.544,-0.327,-0.393,-0.467,-0.665,-0.356,-0.46
1858,-0.532,-0.707,-0.55,-0.517,-0.651,-0.58,-0.324,-0.28,-0.339,-0.2,-0.644,-0.3,-0.466
1859,-0.307,-0.192,-0.334,-0.203,-0.31,-0.25,-0.285,-0.104,-0.575,-0.255,-0.316,-0.363,-0.286
1860,-0.186,-0.428,-0.643,-0.335,-0.29,-0.307,-0.116,-0.193,-0.229,-0.198,-0.508,-0.752,-0.346
1861,-0.89,-0.506,-0.465,-0.395,-0.761,-0.183,-0.221,-0.107,-0.331,-0.355,-0.424,-0.253,-0.409
1862,-0.749,-0.773,-0.402,-0.24,-0.232,-0.338,-0.34,-0.694,-0.413,-0.42,-0.753,-0.889,-0.522
1863,0.131,-0.02,-0.356,-0.241,-0.32,-0.402,-0.416,-0.321,-0.324,-0.381,-0.333,-0.351,-0.276
1864,-0.937,-0.63,-0.509,-0.538,-0.449,-0.162,-0.146,-0.31,-0.439,-0.701,-0.468,-0.602,-0.49
1865,-0.093,-0.602,-0.639,-0.224,-0.26,-0.27,-0.128,-0.207,-0.075,-0.272,-0.191,-0.338,-0.27
1866,0.039,-0.212,-0.595,-0.263,-0.528,0.108,0.027,-0.261,-0.225,-0.417,-0.301,-0.337,-0.245
1867,-0.305,0.022,-0.714,-0.251,-0.542,-0.295,-0.231,-0.225,-0.095,-0.179,-0.309,-0.624,-0.314
1868,-0.704,-0.466,-0.07,-0.371,-0.069,-0.176,0.147,-0.037,-0.196,-0.232,-0.5,-0.12,-0.231
1869,-0.259,0.27,-0.589,-0.224,-0.281,-0.37,-0.286,-0.072,-0.186,-0.422,-0.375,-0.355,-0.262
1870,-0.078,-0.45,-0.406,-0.214,-0.165,-0.209,0.016,-0.262,-0.263,-0.393,-0.164,-0.723,-0.275
1871,-0.527,-0.546,0.013,-0.144,-0.315,-0.223,-0.011,-0.221,-0.457,-0.479,-0.54,-0.56,-0.333
1872,-0.305,-0.402,-0.471,-0.15,-0.039,-0.208,-0.115,-0.027,-0.128,-0.225,-0.243,-0.424,-0.227
1873,-0.018,-0.345,-0.275,-0.521,-0.411,-0.258,-0.162,-0.161,-0.357,-0.402,-0.466,-0.277,-0.303
1874,0.054,-0.44,-0.562,-0.507,-0.466,-0.458,-0.174,-0.368,-0.212,-0.436,-0.503,-0.407,-0.374
1875,-0.577,-0.613,-0.598,-0.462,-0.176,-0.234,-0.302,-0.183,-0.274,-0.371,-0.5,-0.495,-0.397
1876,-0.311,-0.265,-0.383,-0.3,-0.53,-0.284,-0.134,-0.241,-0.434,-0.385,-0.575,-0.71,-0.38
1877,-0.325,0.057,-0.293,-0.325,-0.449,-0.088,0.01,0.15,0.028,0.055,0.104,0.172,-0.076
1878,0.173,0.404,0.342,0.324,-0.083,0.015,-0.05,-0.024,0.018,-0.12,-0.203,-0.36,0.035
1879,-0.197,-0.154,-0.097,-0.215,-0.211,-0.27,-0.233,-0.169,-0.213,-0.121,-0.386,-0.517,-0.232
1880,-0.064,-0.176,-0.105,-0.147,-0.241,-0.308,-0.25,-0.115,-0.233,-0.387,-0.408,-0.295,-0.229
1881,-0.362,-0.238,-0.187,-0.133,-0.03,-0.229,-0.151,-0.128,-0.244,-0.284,-0.341,-0.138,-0.206
1882,0.114,-0.009,-0.053,-0.283,-0.373,-0.317,-0.185,-0.221,-0.155,-0.337,-0.313,-0.463,-0.215
1883,-0.409,-0.322,-0.342,-0.394,-0.253,-0.119,-0.195,-0.209,-0.278,-0.381,-0.305,-0.324,-0.295
1884,-0.418,-0.217,-0.459,-0.529,-0.392,-0.413,-0.424,-0.41,-0.342,-0.322,-0.558,-0.416,-0.408
1885,-0.508,-0.411,-0.484,-0.472,-0.521,-0.488,-0.311,-0.51,-0.333,-0.249,-0.261,-0.156,-0.391
1886,-0.401,-0.455,-0.415,-0.336,-0.191,-0.387,-0.285,-0.341,-0.433,-0.363,-0.422,-0.427,-0.369
1887,-0.566,-0.556,-0.458,-0.436,-0.354,-0.406,-0.267,-0.367,-0.343,-0.506,-0.408,-0.397,-0.419
1888,-0.603,-0.453,-0.543,-0.243,-0.349,-0.291,-0.308,-0.281,-0.216,-0.106,-0.197,-0.176,-0.312
1889,-0.054,-0.095,-0.068,0.013,-0.079,-0.149,-0.196,-0.227,-0.381,-0.299,-0.399,-0.175,-0.173
1890,-0.324,-0.366,-0.46,-0.319,-0.425,-0.378,-0.414,-0.421,-0.477,-0.504,-0.57,-0.407,-0.419
1891,-0.515,-0.467,-0.371,-0.36,-0.207,-0.3,-0.332,-0.318,-0.204,-0.332,-0.546,-0.124,-0.338
1892,-0.407,-0.121,-0.459,-0.483,-0.401,-0.466,-0.535,-0.445,-0.325,-0.444,-0.627,-0.794,-0.457
1893,-0.962,-0.723,-0.374,-0.562,-0.551,-0.463,-0.278,-0.288,-0.44,-0.271,-0.415,-0.352,-0.474
1894,-0.454,-0.379,-0.38,-0.379,-0.426,-0.493,-0.316,-0.343,-0.465,-0.443,-0.424,-0.404,-0.406
