"MONDAY, MARCH 12"
"Shower","8:45","9:15",0:30
"Eating","9:15","9:25",0:10
"Travel","9:25","10:00",0:35
"Education","10:00","12:10",2:10
"Eating","12:10","13:10",1:00
"Education","13:10","15:15",2:05
"Homework","15:15","17:00",1:45
"Socializing","17:00","17:30",0:30
"Travel","17:30","18:05",0:35
"Browsing","18:05","18:45",0:40
"Homework","18:45","0:35",5:15
Total,24:00

"FRIDAY, MARCH 23"
"Homework","18:45","0:35",0:35
"Browsing","0:35","0:45",0:10
"Shower","0:45","1:10",0:25
"Homework","1:10","2:30",1:20
"Browsing","2:30","3:10",0:40
"Sleeping","3:10","7:50",4:40
"Shower","7:50","8:15",0:25
"Eating","8:15","8:25",0:10
"Travel","8:25","9:00",0:35
"Education","9:00","11:40",2:40
"Eating","11:40","12:40",1:00
"Education","12:40","15:15",2:35
"Travel","15:15","16:00",0:45
"Browsing","16:00","16:25",0:25
"Homework","16:25","17:00",0:35
"Socializing","17:00","17:15",0:15
"Homework","17:15","18:00",0:45
"Socializing","18:00","18:20",0:20
"Homework","18:20","19:00",0:40
"Sleeping","19:00","21:15",2:15
"Eating","21:15","21:45",0:30
"Socializing","21:45","22:30",0:45
"Shower","22:30","23:10",0:40
"Homework","23:10","0:45",0:50
Total,24:00

"SATURDAY, MARCH 24"
"Homework","23:10","0:45",0:45
"Browsing","0:45","2:30",1:45
"Sleeping","2:30","11:55",9:25
"Shower","11:55","12:00",0:05
"Browsing","12:00","14:10",2:10
"Education","14:10","15:25",1:15
"Shower","15:25","15:35",0:10
"Socializing","15:35","16:40",1:05
"Homework","16:40","18:00",1:20
"Browsing","18:00","19:00",1:00
"Socializing","19:00","21:55",2:55
"Homework","21:55","1:40",2:05
Total,24:00

"SUNDAY, MARCH 25"
"Homework","21:55","1:40",1:40
"Shower","1:40","2:00",0:20
"Education","2:00","2:30",0:30
"Sleeping","2:30","8:45",6:15
"Shower","8:45","9:25",0:40
"Travel","9:25","10:00",0:35
"Education","10:00","13:00",3:00
"Socializing","13:00","13:25",0:25
"Browsing","13:25","13:45",0:20
"Eating","13:45","14:15",0:30
"Browsing","14:15","15:30",1:15
"Travel","15:30","16:00",0:30
"Education","16:00","17:30",1:30
"Eating","17:30","18:00",0:30
"Browsing","18:00","23:00",5:00
"Eating","23:00","23:40",0:40
"Browsing","23:40","0:00",0:20
Total,24:00

"MONDAY, MARCH 26"
"Homework","0:00","0:55",0:55
"Shower","0:55","1:20",0:25
"Browsing","1:20","2:40",1:20
"Sleeping","2:40","7:45",5:05
"Shower","7:45","8:10",0:25
"Eating","8:10","8:25",0:15
"Travel","8:25","9:00",0:35
"Education","9:00","11:40",2:40
"Eating","11:40","12:40",1:00
"Education","12:40","15:15",2:35
"Eating","15:15","15:55",0:40
"Travel","15:55","16:35",0:40
"Socializing","16:35","19:00",2:25
"Homework","19:00","19:05",0:05
"Browsing","19:05","21:00",1:55
"Eating","21:00","21:30",0:30
"Homework","21:30","23:00",1:30
"Shower","23:00","23:40",0:40
"Homework","23:40","0:35",0:20
Total,24:00

"TUESDAY, MARCH 27"
"Homework","23:40","0:35",0:35
"Sleeping","0:35","5:55",5:20
"Shower","5:55","6:20",0:25
"Travel","6:20","7:00",0:40
"Eating","7:00","7:15",0:15
"Travel","7:15","9:15",2:00
"Education","9:15","14:00",4:45
"Travel","14:00","15:45",1:45
"Browsing","15:45","16:15",0:30
"Socializing","16:15","17:15",1:00
"Homework","17:15","19:05",1:50
"Socializing","19:05","19:35",0:30
"Homework","19:35","21:30",1:55
"Eating","21:30","21:50",0:20
"Homework","21:50","23:05",1:15
"Shower","23:05","23:25",0:20
"Browsing","23:25","0:00",0:35
Total,24:00

"WEDNESDAY, MARCH 28"
"Socializing","0:00","0:20",0:20
"Homework","0:20","2:40",2:20
"Sleeping","2:40","7:55",5:15
"Shower","7:55","8:15",0:20
"Eating","8:15","8:25",0:10
"Travel","8:25","9:00",0:35
"Education","9:00","11:40",2:40
"Eating","11:40","12:40",1:00
"Education","12:40","15:15",2:35
"Eating","15:15","16:10",0:55
"Travel","16:10","16:45",0:35
"Browsing","16:45","17:10",0:25
"Socializing","17:10","18:00",0:50
"Homework","18:00","19:10",1:10
"Browsing","19:10","19:30",0:20
"Homework","19:30","20:10",0:40
"Browsing","20:10","22:40",2:30
"Shower","22:40","23:00",0:20
"Browsing","23:00","0:00",1:00
Total,24:00

"THURSDAY, MARCH 29"
"Homework","0:00","1:35",1:35
"Sleeping","1:35","7:50",6:15
"Shower","7:50","8:15",0:25
"Eating","8:15","8:30",0:15
"Homework","8:30","9:20",0:50
"Travel","9:20","10:00",0:40
"Education","10:00","12:10",2:10
"Eating","12:10","13:10",1:00
"Education","13:10","15:15",2:05
"Eating","15:15","15:40",0:25
"Travel","15:40","16:15",0:35
"Education","16:15","16:55",0:40
"Browsing","16:55","0:55",7:05
Total,24:00

"FRIDAY, MARCH 30"
"Browsing","16:55","0:55",0:55
